,taxon,W,p_val,q_val,diff_abn,passed_ss
396,ASV899,146.937.169.386.715,0.006245154,1,FALSE,FALSE
397,ASV904,382.285.727.950.603,0.014672781,1,FALSE,TRUE
398,ASV910,NA,1,1,FALSE,FALSE
399,ASV914,364.620.229.735.104,0.232614687,1,FALSE,TRUE
400,ASV915,185.385.202.880.193,0.018964949,1,FALSE,TRUE
401,ASV918,127.356.097.336.682,0.021813754,1,FALSE,FALSE
402,ASV932,351.189.216.506.518,0.000974927,0.608354228,FALSE,TRUE
403,ASV938,NA,1,1,FALSE,FALSE
404,ASV955,115.751.563.906.736,0.017440306,1,FALSE,FALSE
405,ASV960,181.526.269.252.276,0.01019628,1,FALSE,TRUE
406,ASV962,861.923.118.800.394,0.047939458,1,FALSE,TRUE
407,ASV963,226.028.777.321.654,0.320363465,1,FALSE,TRUE
408,ASV964,905.925.242.458.075,0.04350665,1,FALSE,FALSE
409,ASV968,139.511.606.297.716,0.636037491,1,FALSE,TRUE
410,ASV969,366.840.753.861.836,0.182107301,1,FALSE,TRUE
411,ASV971,524.145.796.988.214,0.081231522,1,FALSE,TRUE
412,ASV972,136.995.442.835.591,0.011595244,1,FALSE,FALSE
413,ASV975,NA,1,1,FALSE,FALSE
414,ASV982,361.691.720.829.009,0.186391738,1,FALSE,FALSE
415,ASV990,919.174.874.772.047,0.105097834,1,FALSE,TRUE
416,ASV994,149.940.105.855.422,0.653284794,1,FALSE,TRUE
417,ASV995,11.091.744.765.185,0.007455213,1,FALSE,TRUE
418,ASV1001,NA,1,1,FALSE,FALSE
419,ASV1011,0.68873252,0.815679821,1,FALSE,TRUE
420,ASV1012,224.272.366.321.265,0.031392656,1,FALSE,FALSE
421,ASV1013,111.291.031.464.669,0.046410887,1,FALSE,FALSE
422,ASV1015,22.293.855.614.081,0.340007983,1,FALSE,FALSE
423,ASV1025,231.614.486.926.616,0.082776493,1,FALSE,TRUE
424,ASV1035,NA,1,1,FALSE,FALSE
425,ASV1036,768.013.441.598.006,0.230411178,1,FALSE,TRUE
426,ASV1049,228.530.768.192.673,0.012951786,1,FALSE,FALSE
427,ASV1050,204.411.727.569.111,0.00784045,1,FALSE,TRUE
428,ASV1054,69.110.780.717.169,0.000455443,0.293305268,FALSE,FALSE
429,ASV1063,134.945.795.102.176,0.063279851,1,FALSE,TRUE
430,ASV1067,206.649.336.593.197,0.545512559,1,FALSE,TRUE
431,ASV1078,245.586.712.485.385,0.011341678,1,FALSE,FALSE
432,ASV1080,NA,1,1,FALSE,FALSE
433,ASV1084,195.900.087.894.681,0.037936018,1,FALSE,FALSE
434,ASV1086,100.282.304.098.215,0.024419539,1,FALSE,FALSE
435,ASV1091,147.701.132.600.327,0.02844579,1,FALSE,TRUE
436,ASV1099,NA,1,1,FALSE,TRUE
437,ASV1108,143.981.736.348.432,0.016837616,1,FALSE,TRUE
438,ASV1110,418.384.018.681.155,0.20920568,1,FALSE,TRUE
439,ASV1112,215.795.700.135.423,0.088575646,1,FALSE,FALSE
440,ASV1116,499.909.506.149.616,0.009944215,1,FALSE,FALSE
441,ASV1127,118.752.648.740.455,0.016405884,1,FALSE,FALSE
442,ASV1136,446.608.693.739.853,NA,1,FALSE,NA
443,ASV1138,174.124.492.384.233,0.10862216,1,FALSE,FALSE
444,ASV1139,409.211.515.810.167,0.001590841,0.968821943,FALSE,FALSE
445,ASV1147,30.087.845.103.652,0.003260175,1,FALSE,TRUE
446,ASV1148,NA,1,1,FALSE,TRUE
447,ASV1150,71.203.102.298.884,0.145171893,1,FALSE,FALSE
448,ASV1151,1.260.069.476.909,0.069391475,1,FALSE,TRUE
449,ASV1152,250.221.949.200.157,0.324175379,1,FALSE,TRUE
450,ASV1155,0.332686696,0.519069958,1,FALSE,TRUE
451,ASV1160,517.058.147.082.941,0.155589841,1,FALSE,TRUE
452,ASV1162,61.131.873.753.257,0.048946061,1,FALSE,TRUE
453,ASV1163,679.961.693.133.152,0.074940635,1,FALSE,FALSE
454,ASV1172,403.062.871.476.025,0.136885934,1,FALSE,TRUE
455,ASV1177,596.399.189.244.756,0.126132896,1,FALSE,TRUE
456,ASV1189,363.397.641.769.906,0.000886949,0.557003786,FALSE,FALSE
457,ASV1190,97.475.580.209.502,0.026068303,1,FALSE,TRUE
458,ASV1197,137.147.654.423.386,0.007579041,1,FALSE,FALSE
459,ASV1200,867.475.981.566.857,0.000262657,0.172828185,FALSE,FALSE
460,ASV1205,856.398.370.990.785,0.20911788,1,FALSE,TRUE
461,ASV1212,555.977.690.123.658,0.071673216,1,FALSE,FALSE
462,ASV1214,586.372.659.714.178,0.097696825,1,FALSE,FALSE
463,ASV1215,375.970.037.991.303,0.201602611,1,FALSE,TRUE
464,ASV1220,678.565.230.695.715,0.057626789,1,FALSE,FALSE
465,ASV1227,13.239.209.822.097,0.064931522,1,FALSE,TRUE
466,ASV1229,820.968.870.851.125,0.121439207,1,FALSE,TRUE
467,ASV1238,NA,1,1,FALSE,FALSE
468,ASV1239,142.606.266.241.519,0.004604763,1,FALSE,FALSE
469,ASV1241,394.819.393.039.832,0.001730708,1,FALSE,FALSE
470,ASV1243,851.262.201.752.464,0.072388218,1,FALSE,TRUE
471,ASV1246,269.475.186.997.397,0.024215882,1,FALSE,TRUE
472,ASV1251,NA,1,1,FALSE,TRUE
473,ASV1265,32.531.884.981.758,0.470235448,1,FALSE,TRUE
474,ASV1266,193.772.323.573.663,0.008828747,1,FALSE,FALSE
475,ASV1268,787.209.937.373.459,0.158889374,1,FALSE,TRUE
476,ASV1275,46.222.368.266.135,0.00018507,0.122886708,FALSE,FALSE
477,ASV1282,236.819.850.888.175,0.005634736,1,FALSE,TRUE
478,ASV1288,450.815.946.531.725,0.631940113,1,FALSE,TRUE
479,ASV1290,311.694.598.165.095,0.019676777,1,FALSE,FALSE
480,ASV1291,161.848.217.157.776,0.024192007,1,FALSE,FALSE
481,ASV1299,553.103.334.718.068,0.197078001,1,FALSE,TRUE
482,ASV1311,602.352.477.934.176,0.124268081,1,FALSE,TRUE
483,ASV1315,NA,1,1,FALSE,FALSE
484,ASV1319,NA,1,1,FALSE,FALSE
485,ASV1322,52.512.151.576.359,0.194234907,1,FALSE,TRUE
486,ASV1329,37.448.984.709.306,0.1759817,1,FALSE,TRUE
487,ASV1331,775.174.050.163.202,0.228525971,1,FALSE,TRUE
488,ASV1348,681.748.822.109.051,0.25583665,1,FALSE,TRUE
489,ASV1350,489.454.149.925.916,0.227223251,1,FALSE,TRUE
490,ASV1351,NA,1,1,FALSE,FALSE
491,ASV1357,37.145.948.157.737,0.052430208,1,FALSE,FALSE
492,ASV1368,NA,1,1,FALSE,FALSE
493,ASV1370,532.310.319.197.556,0.115460217,1,FALSE,TRUE
494,ASV1375,920.281.171.039.922,0.104934925,1,FALSE,TRUE
495,ASV1376,427.322.855.396.178,0.215085384,1,FALSE,TRUE
496,ASV1378,145.755.165.610.895,0.669194915,1,FALSE,FALSE
497,ASV1380,258.122.132.380.114,0.025741363,1,FALSE,FALSE
498,ASV1385,255.103.945.709.012,0.56321537,1,FALSE,TRUE
499,ASV1389,NA,1,1,FALSE,FALSE
500,ASV1395,120.415.520.531.972,0.073733393,1,FALSE,TRUE
501,ASV1398,124.128.327.760.151,0.070801676,1,FALSE,TRUE
502,ASV1405,607.341.098.495.503,0.55159409,1,FALSE,TRUE
503,ASV1407,854.271.327.504.433,0.209583998,1,FALSE,TRUE
504,ASV1408,145.574.118.890.787,0.669896283,1,FALSE,TRUE
505,ASV1414,686.544.838.683.357,0.254276667,1,FALSE,TRUE
506,ASV1415,141.095.758.867.465,0.687602343,1,FALSE,TRUE
507,ASV1422,850.714.905.007.547,0.049169172,1,FALSE,FALSE
508,ASV1423,546.283.902.294.172,0.110461307,1,FALSE,FALSE
509,ASV1432,945.642.931.412.921,0.101312568,1,FALSE,FALSE
510,ASV1433,NA,1,1,FALSE,FALSE
511,ASV1441,920.411.495.474.002,0.104915762,1,FALSE,FALSE
512,ASV1445,198.653.410.682.959,0.50338355,1,FALSE,TRUE
513,ASV1447,125.423.419.455.453,0.037828688,1,FALSE,FALSE
514,ASV1451,339.070.114.179.607,0.241096842,1,FALSE,TRUE
515,ASV1457,905.702.833.658.678,0.043527585,1,FALSE,TRUE
516,ASV1459,276.753.990.544.267,0.000508606,0.326525129,FALSE,FALSE
517,ASV1468,285.480.562.942.682,0.339426928,1,FALSE,FALSE
518,ASV1469,NA,1,1,FALSE,FALSE
519,ASV1471,652.136.601.273.109,0.080853581,1,FALSE,TRUE
520,ASV1489,112.237.426.961.182,0.413030249,1,FALSE,TRUE
521,ASV1511,10.560.649.058.161,0.425230778,1,FALSE,TRUE
522,ASV1526,3.014.529.616.577,0.318148284,1,FALSE,TRUE
523,ASV1530,NA,1,1,FALSE,TRUE
524,ASV1531,123.762.186.249.963,NA,1,FALSE,NA
525,ASV1534,159.753.600.234.899,0.348415559,1,FALSE,TRUE
526,ASV1538,413.067.744.690.748,0.657192702,1,FALSE,TRUE
527,ASV1541,102.868.579.917.096,0.023021143,1,FALSE,FALSE
528,ASV1542,361.322.469.718.887,0.317778541,1,FALSE,TRUE
529,ASV1544,175.205.026.470.551,0.568267333,1,FALSE,FALSE
530,ASV1554,491.142.140.295.606,0.167477026,1,FALSE,FALSE
531,ASV1556,685.982.805.323.916,0.521292124,1,FALSE,TRUE
532,ASV1562,31.401.320.894.938,0.007170719,1,FALSE,TRUE
533,ASV1568,356.643.552.538.667,0.005639348,1,FALSE,FALSE
534,ASV1569,NA,1,1,FALSE,FALSE
535,ASV1572,686.771.549.596.097,0.254203396,1,FALSE,TRUE
536,ASV1585,13.393.129.440.054,NA,1,FALSE,NA
537,ASV1598,989.718.772.866.368,0.000784674,0.498267833,FALSE,FALSE
538,ASV1599,263.944.741.525.866,0.43626797,1,FALSE,TRUE
539,ASV1609,974.515.043.772.588,NA,1,FALSE,NA
540,ASV1625,233.116.969.121.923,0.005839002,1,FALSE,FALSE
541,ASV1630,250.030.962.096.514,0.353498663,1,FALSE,FALSE
542,ASV1647,182.359.234.125.284,0.445149711,1,FALSE,TRUE
543,ASV1649,NA,1,1,FALSE,FALSE
544,ASV1650,136.108.720.929.991,0.011781931,1,FALSE,TRUE
545,ASV1662,383.389.086.185.579,NA,1,FALSE,NA
546,ASV1681,417.860.339.935.383,0.012901648,1,FALSE,TRUE
547,ASV1693,0.007812229,0.015503342,1,FALSE,FALSE
548,ASV1698,487.958.213.881.982,0.60973444,1,FALSE,TRUE
549,ASV1716,134.147.159.012.049,0.063788796,1,FALSE,TRUE
550,ASV1727,17.804.227.641.076,0.043319979,1,FALSE,FALSE
551,ASV1729,179.642.159.741.679,0.010432592,1,FALSE,FALSE
552,ASV1730,79.924.553.459.076,0.040654594,1,FALSE,FALSE
553,ASV1732,398.534.599.448.776,0.401175766,1,FALSE,FALSE
554,ASV1736,7.198.412.033.641,0.067472754,1,FALSE,FALSE
555,ASV1742,NA,1,1,FALSE,TRUE
556,ASV1747,NA,1,1,FALSE,TRUE
557,ASV1767,121.068.056.139.744,0.040200608,1,FALSE,FALSE
558,ASV1768,62.603.405.556.572,0.117244933,1,FALSE,FALSE
559,ASV1771,119.012.321.229.601,0.401589713,1,FALSE,TRUE
560,ASV1794,590.075.317.499.968,0.03332915,1,FALSE,FALSE
561,ASV1801,107.559.587.048.261,0.170126491,1,FALSE,TRUE
562,ASV1806,NA,1,1,FALSE,FALSE
563,ASV1807,101.533.891.458.037,NA,1,FALSE,NA
564,ASV1816,467.752.008.638.922,0.621518559,1,FALSE,TRUE
565,ASV1827,647.623.621.262.799,0.081873685,1,FALSE,TRUE
566,ASV1829,358.178.854.586.548,0.699986633,1,FALSE,TRUE
567,ASV1843,324.834.962.321.875,0.249472156,1,FALSE,FALSE
568,ASV1845,839.139.213.519.433,0.118108392,1,FALSE,TRUE
569,ASV1846,687.157.734.068.325,NA,1,FALSE,NA
570,ASV1859,0.432877321,0.632710594,1,FALSE,TRUE
571,ASV1868,739.487.466.819.427,0.090637518,1,FALSE,TRUE
572,ASV1874,NA,1,1,FALSE,FALSE
573,ASV1882,371.509.901.447.509,0.005219207,1,FALSE,FALSE
574,ASV1894,31.454.730.965.305,0.740692674,1,FALSE,TRUE
575,ASV1908,176.197.650.471.952,0.500071397,1,FALSE,TRUE
576,ASV1911,239.871.905.758.028,0.372112007,1,FALSE,TRUE
577,ASV1912,368.803.591.865.184,0.247266526,1,FALSE,TRUE
578,ASV1917,384.604.772.787.312,0.001840634,1,FALSE,FALSE
579,ASV1929,302.693.370.388.089,0.063960422,1,FALSE,TRUE
580,ASV1942,103.954.038.854.206,0.052067727,1,FALSE,TRUE
581,ASV1953,NA,1,1,FALSE,TRUE
582,ASV1961,51.661.821.202.063,0.037978178,1,FALSE,FALSE
583,ASV1968,NA,1,1,FALSE,FALSE
584,ASV1988,341.741.198.829.017,0.272587702,1,FALSE,TRUE
585,ASV1992,103.811.089.431.347,0.089718379,1,FALSE,TRUE
586,ASV1998,175.891.268.530.721,0.044054248,1,FALSE,FALSE
587,ASV2001,578.798.670.362.266,0.033967468,1,FALSE,FALSE
588,ASV2019,NA,1,1,FALSE,TRUE
589,ASV2028,624.932.368.319.049,0.17032217,1,FALSE,TRUE
590,ASV2034,NA,1,1,FALSE,TRUE
591,ASV2038,330.383.145.208.731,NA,1,FALSE,NA
592,ASV2067,601.634.683.860.313,0.285048622,1,FALSE,TRUE
593,ASV2071,876.005.668.830.189,0.204916843,1,FALSE,TRUE
594,ASV2083,229.227.604.165.214,0.292210596,1,FALSE,TRUE
595,ASV2092,NA,1,1,FALSE,TRUE
596,ASV2093,123.411.073.664.968,0.071352736,1,FALSE,TRUE
597,ASV2094,0.031906382,0.060912542,1,FALSE,FALSE
598,ASV2126,107.659.123.557.719,0.888379639,1,FALSE,TRUE
599,ASV2136,691.391.777.595.748,0.519387048,1,FALSE,TRUE
600,ASV2151,616.541.073.432.772,0.279118682,1,FALSE,TRUE
601,ASV2164,0.828536244,0.962266732,1,FALSE,TRUE
602,ASV2166,346.741.829.140.833,0.710004338,1,FALSE,TRUE
603,ASV2169,NA,1,1,FALSE,FALSE
604,ASV2171,NA,1,1,FALSE,TRUE
605,ASV2196,385.171.678.090.083,0.014514342,1,FALSE,TRUE
606,ASV2198,148.525.579.393.408,0.623360835,1,FALSE,TRUE
607,ASV2199,198.814.879.257.082,0.095778615,1,FALSE,TRUE
608,ASV2201,878.359.853.823.949,0.464148362,1,FALSE,TRUE
609,ASV2202,668.325.567.313.604,0.527660197,1,FALSE,TRUE
610,ASV2213,NA,1,1,FALSE,TRUE
611,ASV2227,507.298.958.217.139,0.599060773,1,FALSE,TRUE
612,ASV2229,602.974.522.582.441,NA,1,FALSE,NA
613,ASV2230,0.974780982,0.835468518,1,FALSE,TRUE
614,ASV2231,142.008.935.754.097,0.030479795,1,FALSE,TRUE
615,ASV2234,707.047.072.930.348,0.146440051,1,FALSE,TRUE
616,ASV2236,191.977.222.351.255,0.099021067,1,FALSE,TRUE
617,ASV2258,331.842.895.927.381,0.006462379,1,FALSE,FALSE
618,ASV2262,120.245.290.522.068,0.073872646,1,FALSE,TRUE
619,ASV2276,NA,1,1,FALSE,TRUE
620,ASV2287,694.919.644.150.572,0.251597758,1,FALSE,FALSE
621,ASV2294,610.554.784.662.582,0.175174598,1,FALSE,TRUE
622,ASV2295,121.184.517.558.666,NA,1,FALSE,NA
623,ASV2301,775.379.007.151.985,0.043421927,1,FALSE,FALSE
624,ASV2303,726.996.084.569.089,0.241839114,1,FALSE,TRUE
625,ASV2307,NA,1,1,FALSE,TRUE
626,ASV2316,1.584.811.952.788,0.112161064,1,FALSE,TRUE
627,ASV2324,315.206.734.061.994,0.740023667,1,FALSE,TRUE
628,ASV2338,738.417.131.814.438,0.503659432,1,FALSE,TRUE
629,ASV2343,NA,1,1,FALSE,FALSE
630,ASV2344,611.328.591.072.135,0.281164011,1,FALSE,TRUE
631,ASV2363,0.933246975,0.965471031,1,FALSE,TRUE
632,ASV2373,NA,1,1,FALSE,TRUE
633,ASV2374,NA,1,1,FALSE,TRUE
634,ASV2375,NA,1,1,FALSE,FALSE
635,ASV2379,262.921.342.452.184,0.27321928,1,FALSE,TRUE
636,ASV2384,NA,1,1,FALSE,FALSE
637,ASV2387,412.424.970.529.762,0.657649295,1,FALSE,FALSE
638,ASV2401,543.513.497.216.637,0.00880271,1,FALSE,TRUE
639,ASV2413,46.017.226.629.698,0.01121735,1,FALSE,FALSE
640,ASV2415,240.439.791.206.173,0.829825813,1,FALSE,TRUE
641,ASV2419,395.031.323.041.043,0.223598043,1,FALSE,TRUE
642,ASV2424,188.628.919.065.617,0.039985976,1,FALSE,FALSE
643,ASV2439,40.709.735.972.843,0.004385673,1,FALSE,TRUE
644,ASV2444,369.064.705.759.155,0.015436907,1,FALSE,FALSE
645,ASV2503,NA,1,1,FALSE,TRUE
646,ASV2504,275.243.507.044.979,0.354207378,1,FALSE,TRUE
647,ASV2512,NA,1,1,FALSE,FALSE
648,ASV2518,NA,1,1,FALSE,TRUE
649,ASV2523,0.929279481,0.963343559,1,FALSE,TRUE
650,ASV2528,NA,1,1,FALSE,FALSE
651,ASV2539,24.752.260.946.421,0.463579404,1,FALSE,FALSE
652,ASV2558,351.715.441.297.295,0.055292082,1,FALSE,TRUE
653,ASV2559,511.866.808.997.206,0.009607616,1,FALSE,FALSE
654,ASV2567,176.086.895.072.627,0.940540071,1,FALSE,FALSE
655,ASV2568,264.738.810.065.397,0.272297265,1,FALSE,TRUE
656,ASV2576,NA,1,1,FALSE,FALSE
657,ASV2593,396.995.723.279.783,0.40241795,1,FALSE,FALSE
658,ASV2624,598.972.143.204.922,0.555139296,1,FALSE,TRUE
659,ASV2631,167.173.948.949.086,0.022834904,1,FALSE,FALSE
660,ASV2658,229.577.787.672.299,0.496839023,1,FALSE,TRUE
661,ASV2670,283.067.076.609.034,0.301248828,1,FALSE,TRUE
662,ASV2693,178.066.666.781.109,0.618334851,1,FALSE,TRUE
663,ASV2695,159.666.917.749.471,0.348507252,1,FALSE,TRUE
664,ASV2696,214.812.696.829.952,0.869051665,1,FALSE,TRUE
665,ASV2699,NA,1,1,FALSE,TRUE
666,ASV2719,545.580.570.776.561,0.309798667,1,FALSE,TRUE
667,ASV2737,133.429.627.351.847,0.85678927,1,FALSE,FALSE
668,ASV2739,128.177.182.363.586,0.387525323,1,FALSE,TRUE
669,ASV2751,30.906.761.246.161,0.37355272,1,FALSE,TRUE
670,ASV2753,NA,1,1,FALSE,TRUE
671,ASV2758,NA,1,1,FALSE,FALSE
672,ASV2759,439.589.230.469.028,0.63914452,1,FALSE,TRUE
673,ASV2771,501.762.994.474.507,0.332356761,1,FALSE,FALSE
674,ASV2797,144.281.622.835.962,0.366025906,1,FALSE,TRUE
675,ASV2826,945.146.429.000.379,0.191360746,1,FALSE,TRUE
676,ASV2834,298.738.503.562.218,0.757294928,1,FALSE,TRUE
677,ASV2854,192.937.683.118.184,0.017643508,1,FALSE,FALSE
678,ASV2896,119.301.612.740.794,0.154677112,1,FALSE,TRUE
679,ASV2903,191.695.519.513.362,0.318873012,1,FALSE,TRUE
680,ASV2929,278.135.189.046.098,0.780707937,1,FALSE,TRUE
681,ASV2934,NA,1,1,FALSE,TRUE
682,ASV2936,186.485.288.856.274,0.323182094,1,FALSE,TRUE
683,ASV2939,672.347.696.594.491,0.526189105,1,FALSE,TRUE
684,ASV2940,948.649.064.920.027,0.44751598,1,FALSE,TRUE
685,ASV2955,NA,1,1,FALSE,FALSE
686,ASV2974,NA,1,1,FALSE,FALSE
687,ASV2983,0.987119791,0.840309709,1,FALSE,TRUE
688,ASV2991,596.781.642.162.252,0.287033969,1,FALSE,FALSE
689,ASV2992,NA,1,1,FALSE,TRUE
690,ASV3065,276.148.662.891.754,0.266714721,1,FALSE,TRUE
691,ASV3091,0.487126036,0.57659432,1,FALSE,TRUE
692,ASV3111,314.123.511.026.317,0.367465466,1,FALSE,TRUE
693,ASV3116,949.754.390.318.321,0.020838665,1,FALSE,FALSE
694,ASV3138,565.362.328.534.476,0.570098036,1,FALSE,TRUE
695,ASV3148,155.195.079.367.509,0.987259967,1,FALSE,TRUE
696,ASV3232,112.442.173.692.525,0.941432657,1,FALSE,TRUE
697,ASV3241,623.913.081.660.795,0.544769838,1,FALSE,TRUE
698,ASV3255,NA,1,1,FALSE,TRUE
699,ASV3265,0.752862863,0.913412386,1,FALSE,TRUE
700,ASV3297,395.528.564.442.417,0.403609427,1,FALSE,TRUE
701,ASV3323,359.311.534.849.556,0.699017432,1,FALSE,TRUE
702,ASV3338,NA,1,1,FALSE,TRUE
703,ASV3364,271.327.002.296.582,0.538608824,1,FALSE,FALSE
704,ASV3398,255.509.011.925.401,0.277079007,1,FALSE,TRUE
705,ASV3437,179.141.528.051.605,0.615308427,1,FALSE,TRUE
706,ASV3452,NA,1,1,FALSE,FALSE
707,ASV3473,122.450.519.273.812,0.396135892,1,FALSE,TRUE
708,ASV3501,506.939.210.001.877,0.599254219,1,FALSE,TRUE
709,ASV3527,240.485.755.491.542,0.285431467,1,FALSE,TRUE
710,ASV3535,NA,1,1,FALSE,TRUE
711,ASV3554,472.847.828.253.005,NA,1,FALSE,NA
712,ASV3561,NA,1,1,FALSE,TRUE
713,ASV3597,791.696.246.111.342,0.487458113,1,FALSE,TRUE
714,ASV3598,NA,1,1,FALSE,TRUE
715,ASV3702,115.206.751.570.292,0.407897053,1,FALSE,TRUE
716,ASV3733,791.422.506.127.655,0.487537399,1,FALSE,TRUE
717,ASV3737,NA,1,1,FALSE,FALSE
718,ASV3757,556.103.129.296.444,0.188796375,1,FALSE,FALSE
719,ASV3763,NA,1,1,FALSE,FALSE
720,ASV3952,422.702.061.300.634,NA,1,FALSE,NA
721,ASV3958,NA,1,1,FALSE,FALSE
722,ASV3973,263.647.863.252.321,0.549982607,1,FALSE,TRUE
723,ASV3995,NA,1,1,FALSE,TRUE
724,ASV4053,117.914.929.812.748,NA,1,FALSE,NA
725,ASV4072,NA,1,1,FALSE,TRUE
726,ASV4167,60.267.036.599.639,0.284628483,1,FALSE,TRUE
727,ASV4463,451.167.418.924.785,0.043368198,1,FALSE,FALSE
728,ASV4655,NA,1,1,FALSE,TRUE
729,ASV4749,NA,1,1,FALSE,FALSE
730,ASV4889,869.743.063.854.368,0.069908668,1,FALSE,FALSE
731,ASV4976,364.975.237.159.792,0.694230847,1,FALSE,TRUE
732,ASV5116,NA,1,1,FALSE,TRUE
733,ASV5119,252.723.635.557.005,0.454628027,1,FALSE,TRUE
734,ASV5526,122.535.648.204.337,0.396003661,1,FALSE,FALSE
735,ASV6884,120.820.303.415.747,0.398693939,1,FALSE,FALSE
736,ASV7427,172.499.325.038.308,0.335673182,1,FALSE,TRUE
737,ASV7852,NA,1,1,FALSE,FALSE
