,taxon,W,p_val,q_val,diff_abn,passed_ss
86,ASV154,469.795.746.334.392,0.010885006,1,FALSE,FALSE
87,ASV156,120.311.384.746.582,0.001110657,0.688607551,FALSE,TRUE
88,ASV157,335.794.536.624.509,0.138948693,1,FALSE,TRUE
89,ASV158,676.615.181.745.676,0.01139452,1,FALSE,FALSE
90,ASV159,381.460.084.416.975,2.04E+07,0.000145416,TRUE,FALSE
91,ASV161,910.259.424.463.121,0.002633761,1,FALSE,FALSE
92,ASV162,30.508.684.741.388,0.147525276,1,FALSE,FALSE
93,ASV164,210.502.847.297.585,0.003881799,1,FALSE,TRUE
94,ASV165,515.971.144.614.762,0.03942856,1,FALSE,TRUE
95,ASV166,524.713.532.299.874,0.033595963,1,FALSE,TRUE
96,ASV172,260.542.889.068.472,0.191034918,1,FALSE,TRUE
97,ASV173,389.976.699.223.232,0.076204462,1,FALSE,TRUE
98,ASV174,267.580.032.579.626,1.12E+09,0.007787268,TRUE,TRUE
99,ASV183,0.035694056,0.069940615,1,FALSE,TRUE
100,ASV185,0.942989339,0.817824505,1,FALSE,FALSE
101,ASV186,328.418.502.821.952,0.001172796,0.725960757,FALSE,TRUE
102,ASV187,647.529.400.873.945,0.027698151,1,FALSE,FALSE
103,ASV188,119.919.597.327.531,0.654260837,1,FALSE,TRUE
104,ASV189,150.538.731.704.199,0.00034559,0.225324614,FALSE,FALSE
105,ASV193,329.085.901.707.791,0.121052133,1,FALSE,TRUE
106,ASV196,NA,1,1,FALSE,FALSE
107,ASV197,162.410.969.215.033,0.000449697,0.29005452,FALSE,TRUE
108,ASV198,870.981.373.410.437,0.007964555,1,FALSE,TRUE
109,ASV199,397.850.448.988.049,0.062172873,1,FALSE,TRUE
110,ASV200,803.152.144.653.369,9.34E+09,0.062839956,FALSE,FALSE
111,ASV203,334.675.996.008.497,0.111499135,1,FALSE,FALSE
112,ASV205,NA,1,1,FALSE,FALSE
113,ASV207,846.966.114.477.196,0.003505841,1,FALSE,FALSE
114,ASV209,241.244.886.147.671,4.11E+09,0.027987251,TRUE,FALSE
115,ASV211,NA,1,1,FALSE,FALSE
116,ASV215,0.773762737,0.974059196,1,FALSE,FALSE
117,ASV221,448.068.610.520.371,0.052699272,1,FALSE,TRUE
118,ASV224,108.220.297.964.871,0.000658517,0.420792203,FALSE,FALSE
119,ASV226,NA,1,1,FALSE,FALSE
120,ASV228,0.430812426,0.685397433,1,FALSE,FALSE
121,ASV229,437.188.913.137.175,0.061131033,1,FALSE,TRUE
122,ASV230,602.511.287.964.266,0.022412947,1,FALSE,TRUE
123,ASV232,402.106.037.733.475,0.104614545,1,FALSE,FALSE
124,ASV233,424.065.231.365.394,0.092761309,1,FALSE,TRUE
125,ASV242,734.389.775.266.465,3.57E+05,2.57E+09,TRUE,TRUE
126,ASV244,95.622.486.440.679,0.002436925,1,FALSE,FALSE
127,ASV245,696.974.510.254.477,0.022172166,1,FALSE,FALSE
128,ASV246,16.871.741.229.554,0.000372844,0.241603152,FALSE,FALSE
129,ASV248,153.520.888.080.913,0.000469943,0.302173358,FALSE,FALSE
130,ASV249,265.246.731.910.066,2.37E+09,0.016311409,TRUE,TRUE
131,ASV250,13.684.523.901.867,0.001016711,0.632394314,FALSE,TRUE
132,ASV253,228.757.324.196.705,0.281720589,1,FALSE,FALSE
133,ASV254,194.906.673.549.966,0.34262469,1,FALSE,TRUE
134,ASV255,56.462.409.226.982,0.023796225,1,FALSE,FALSE
135,ASV257,141.678.786.854.728,0.542659729,1,FALSE,TRUE
136,ASV259,528.414.397.012.362,3.46E+06,2.49E+09,TRUE,TRUE
137,ASV260,101.672.866.320.697,0.767994102,1,FALSE,FALSE
138,ASV261,209.537.033.225.483,0.003928943,1,FALSE,FALSE
139,ASV262,175.598.949.627.245,0.000235313,0.155306295,FALSE,FALSE
140,ASV263,NA,1,1,FALSE,FALSE
141,ASV264,10.189.360.389.165,0.002800338,1,FALSE,FALSE
142,ASV266,582.183.080.722.018,0.031302408,1,FALSE,TRUE
143,ASV267,674.737.646.779.781,5.33E+09,0.036165584,TRUE,TRUE
144,ASV269,NA,1,1,FALSE,FALSE
145,ASV270,263.097.881.454.252,0.000347846,0.226447793,FALSE,TRUE
146,ASV271,142.211.648.203.661,0.540209404,1,FALSE,TRUE
147,ASV272,576.888.700.897.724,0.029760825,1,FALSE,TRUE
148,ASV275,750.087.593.733.247,0.010066998,1,FALSE,FALSE
149,ASV277,0.471011576,0.722135449,1,FALSE,TRUE
150,ASV280,53.291.854.654.164,0.036837938,1,FALSE,FALSE
151,ASV282,0.251251051,0.433788518,1,FALSE,TRUE
152,ASV285,NA,1,1,FALSE,FALSE
153,ASV286,239.075.925.420.313,0.005515158,1,FALSE,FALSE
154,ASV287,289.400.545.140.595,2.13E+08,0.014672842,TRUE,TRUE
155,ASV288,241.898.060.783.632,0.241628442,1,FALSE,TRUE
156,ASV292,43.482.302.936.445,0.062074342,1,FALSE,TRUE
157,ASV293,438.967.758.292.593,0.103344859,1,FALSE,FALSE
158,ASV294,127.188.397.512.966,0.002169022,1,FALSE,TRUE
159,ASV295,NA,1,1,FALSE,FALSE
160,ASV297,584.828.277.831.021,0.033729122,1,FALSE,FALSE
161,ASV302,392.150.798.959.057,0.103600648,1,FALSE,TRUE
162,ASV303,531.328.925.950.058,0.000856152,0.539375808,FALSE,FALSE
163,ASV306,161.300.280.049.861,0.001483815,0.90661075,FALSE,TRUE
164,ASV307,188.025.341.339.856,0.001893815,1,FALSE,FALSE
165,ASV308,260.023.305.213.784,0.237841952,1,FALSE,TRUE
166,ASV309,23.958.955.978.773,0.250078402,1,FALSE,TRUE
167,ASV311,13.402.606.757.224,0.001386922,0.850097673,FALSE,FALSE
168,ASV314,551.519.893.905.764,0.0368736,1,FALSE,TRUE
169,ASV316,347.370.544.667.438,4.69E+08,0.003288557,TRUE,TRUE
170,ASV317,458.232.605.936.579,0.001217557,0.752450467,FALSE,FALSE
171,ASV318,469.450.164.239.455,8.22E+08,0.005726435,TRUE,FALSE
172,ASV322,10.537.286.143.736,0.087977984,1,FALSE,TRUE
173,ASV324,0.327171026,0.541624968,1,FALSE,TRUE
174,ASV325,136.071.940.494.084,0.00085263,0.538862272,FALSE,FALSE
175,ASV326,233.895.895.445.937,6.88E+09,0.046583391,TRUE,TRUE
176,ASV327,128.020.647.680.015,0.013685235,1,FALSE,FALSE
177,ASV328,0.083943787,0.160115623,1,FALSE,TRUE
178,ASV330,142.278.574.754.934,0.5435456,1,FALSE,TRUE
179,ASV332,662.067.689.971.405,0.025919521,1,FALSE,FALSE
180,ASV333,877.191.957.232.592,0.010552896,1,FALSE,FALSE
181,ASV334,0.264956539,0.456775453,1,FALSE,FALSE
182,ASV335,166.852.671.914.718,0.443346015,1,FALSE,TRUE
183,ASV338,39.507.732.765.423,0.096116182,1,FALSE,TRUE
184,ASV341,0.993969843,0.807806326,1,FALSE,FALSE
185,ASV342,120.120.289.402.055,0.005759494,1,FALSE,FALSE
