taxon,lfc_(Intercept),lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_SoilOriginSoilB,lfc_PlantConditionHealthy,se_(Intercept),se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_SoilOriginSoilB,se_PlantConditionHealthy,W_(Intercept),W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_SoilOriginSoilB,W_PlantConditionHealthy,p_(Intercept),p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_SoilOriginSoilB,p_PlantConditionHealthy,q_(Intercept),q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_SoilOriginSoilB,q_PlantConditionHealthy,diff_(Intercept),diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_SoilOriginSoilB,diff_PlantConditionHealthy,passed_ss_(Intercept),passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_SoilOriginSoilB,passed_ss_PlantConditionHealthy,
159,ASV295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
160,ASV297,0.118768359,-0.790081313,-0.401528473,0.321938697,0.198501019,0.288238881,0.326736697,0.363594958,0.162540407,0.152246847,0.412048361,-241.809.787.523.479,-110.432.904.538.731,198.066.869.828.373,130.381.037.915.002,0.687569195,0.032429877,0.291102205,0.071020335,0.21675562,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
161,ASV302,-0.495178652,-0.492929292,0.154498276,0.945860666,-0.220295884,0.276121867,0.32593394,0.342057563,0.139933888,0.129519619,-179.333.370.921.264,-151.235.950.499.502,0.451673322,675.933.954.370.786,-170.086.883.472.888,0.100426243,0.158628353,0.660280071,3.12E+09,0.117029353,1,1,1,0.021765398,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
162,ASV303,104.049.313.521.759,-18.348.658.855.622,0.572743079,-164.580.105.623.067,-0.448472409,0.292699251,0.340888991,0.370335582,0.154454433,0.144104636,35.548.199.500.475,-538.259.062.567.054,154.655.157.817.321,-106.555.767.030.196,-311.213.032.972.139,0.016303892,0.00298406,0.182640561,0.000125976,0.026486875,1,1,1,0.086167268,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
163,ASV306,0.876283128,-129.245.310.742.173,-0.984102827,0.026758738,-0.436177772,0.281336046,0.332165025,0.354756915,0.146768152,0.136376171,311.472.042.897.403,-389.099.697.708.634,-277.402.013.498.176,0.182319787,-319.834.299.869.632,0.010972143,0.003004677,0.019651267,0.858974769,0.009518419,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
164,ASV307,-0.489205717,-1.018.002.824.255,-1.520.207.956.843,0.030577342,106.961.861.625.329,0.30304736,0.35679278,0.361125846,0.173294813,0.163086139,-161.428.799.991.807,-285.320.466.812.523,-420.963.488.417.069,0.176446952,655.861.142.324.489,0.145128765,0.021373491,0.002957345,0.8643278,0.000176872,1,1,1,1,0.128762492,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
165,ASV308,0.277109822,-0.463780932,-0.461322528,-0.576580979,0.307676743,0.278693127,0.32485651,0.347329614,0.141353381,0.130942191,0.994318822,-14.276.485.706.641,-132.819.808.637.462,-407.900.381.253.036,234.971.434.160.471,0.341437164,0.181161226,0.211011791,0.001823288,0.038506692,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
166,ASV309,-0.291018991,-0.410855456,-0.442570988,0.22687544,0.310716022,0.267941929,0.318466807,0.334263864,0.140804092,0.130391601,-108.612.710.447.942,-129.010.448.575.946,-132.401.685.115.017,16.112.844.266.064,238.294.507.226.316,0.29456958,0.216549152,0.205320398,0.127955318,0.030834948,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
167,ASV311,0.669402554,-117.399.752.904.432,-0.707358114,-0.342222644,-0.2396221,0.270465507,0.324257723,0.338066858,0.141459695,0.131048772,247.500.157.092.079,-362.056.920.998.285,-209.236.160.585.349,-241.922.368.289.628,-182.849.557.206.354,0.027871092,0.003107224,0.056591381,0.030950149,0.090504003,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
168,ASV314,-0.374037734,0.411569761,0.787368424,-123.438.254.495.036,-0.199768849,0.271937331,0.321364639,0.338131178,0.141349837,0.130938638,-137.545.563.271.932,128.069.398.642.571,23.285.886.521.515,-873.281.902.315.825,-152.566.768.709.089,0.192228742,0.222678884,0.036658996,8.46E+07,0.151047531,1,1,1,0.0006073,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
169,ASV316,-155.219.715.046.063,178.262.005.616.241,141.522.450.364.669,-0.193003012,-0.164636583,0.277994168,0.32397648,0.334859237,0.147328762,0.136939344,-558.356.012.893.705,55.023.131.743.329,422.632.661.510.062,-131.001.583.413.742,-12.022.591.777.564,5.22E+09,6.08E+09,0.000732898,0.20989856,0.247899433,0.038126684,0.043464636,0.525487975,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
170,ASV317,0.664080801,-211.354.145.673.905,-0.236965662,NA,-0.744117336,0.307821283,0.343427307,0.380247316,NA,0.153202339,215.735.830.466.022,-615.426.151.453.328,-0.623188255,NA,-485.708.859.874.827,0.083465109,0.0016474,0.56048171,1,0.004644954,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
171,ASV318,12.893.804.709.966,-218.426.427.386.767,-155.412.520.757.341,-0.523321299,-0.12007669,0.290412896,0.326495635,0.361747072,0.159121577,0.148803142,443.981.823.931.386,-669.002.596.789.907,-429.616.526.883.255,-328.881.417.870.733,-0.806949964,0.000995314,3.42E+09,0.001264044,0.007219907,0.436795724,0.71563069,0.024601799,0.898735351,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
172,ASV322,302.747.768.657.614,0.64661465,119.809.884.001.643,-396.221.000.963.659,-100.012.875.797.809,0.295705849,0.344385839,0.371165493,0.15680645,0.146472031,102.381.393.500.409,187.758.779.991.829,322.793.703.286.774,-252.681.571.182.755,-682.812.102.683.546,0.001986504,0.157069364,0.048291554,0.000135927,0.006427024,1,1,1,0.092566499,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
173,ASV324,-0.381286365,0.017298237,-0.172322476,-0.757037794,0.605672779,0.294629093,0.360837877,0.36878678,0.174459842,0.164260754,-12.941.232.703.763,0.047939084,-0.467268583,-433.932.409.169.904,368.726.408.995.156,0.227842401,0.96281175,0.651414079,0.001879319,0.005018622,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
174,ASV325,0.53510028,-118.385.928.736.945,-0.356393115,-0.49102779,-0.093680728,0.288725089,0.325907597,0.345415537,0.153202957,0.142845382,185.332.103.171.301,-3.632.499.824.007,-103.178.078.815.762,-320.508.036.346.533,-0.655819089,0.083610019,0.002456399,0.318524915,0.005902135,0.521873459,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
175,ASV326,0.393502436,-15.380.026.409.937,-0.806465911,-0.354567305,0.118242954,0.274229784,0.318283563,0.34697223,0.146188134,0.135793602,143.493.689.905.269,-483.217.740.705.164,-232.429.526.731.843,-242.541.782.317.148,0.870754969,0.173266824,0.000266001,0.035666571,0.029400487,0.398573373,1,0.186466437,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
176,ASV327,-0.536478398,0.092913638,123.035.253.340.335,-0.423982877,0.215253757,0.306524701,0.342720319,0.379801835,0.167405367,0.15714922,-17.501.963.018.543,0.271106301,323.945.916.114.768,-253.267.195.600.803,136.974.117.230.374,0.130655104,0.795394984,0.017698904,0.044518866,0.21981537,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
177,ASV328,0.033426432,0.012345692,-0.081267034,-0.475952992,-0.027580677,0.268757745,0.314342114,0.335877507,0.135422202,0.125005076,0.124373839,0.0392747,-0.241954381,-351.458.612.826.212,-0.220636458,0.90278742,0.969225952,0.812323743,0.003434213,0.828560719,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
178,ASV330,0.060117599,-0.347952235,-0.319433447,-0.019212758,0.204881457,0.272332868,0.321574144,0.354431518,0.163048476,0.152758723,0.220750434,-108.202.802.330.104,-0.901255759,-0.117834636,13.412.095.431.539,0.82826336,0.296328805,0.381695527,0.907762093,0.199808416,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
179,ASV332,0.491571385,-0.759432357,-0.696079128,-0.830547205,0.071265166,0.275149642,0.324412909,0.343774641,0.139004233,0.128588468,178.656.014.394.749,-234.094.370.573.549,-202.481.231.842.772,-597.497.776.936.388,0.554211174,0.101565996,0.039107148,0.067853082,9.25E+09,0.590523367,1,1,1,0.063476399,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
180,ASV333,0.241138799,-0.845769858,-0.858743281,0.643410935,0.29457899,0.284205977,0.326626391,0.347451425,0.143662379,0.133258051,0.848464909,-258.941.065.903.856,-247.154.917.224.382,447.863.204.099.813,221.059.057.069.808,0.414261452,0.025164642,0.03103597,0.000933505,0.049167783,1,1,1,0.595576189,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
181,ASV334,-0.07924757,0.139223556,0.149428554,0.442531836,-0.023557046,0.273142471,0.320845425,0.338604434,0.13630902,0.125891525,-0.290132727,0.433927198,0.441307139,324.653.377.547.641,-0.187121774,0.776667306,0.672040283,0.666837217,0.007001287,0.854691624,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
182,ASV335,0.060479755,-0.364630076,-0.388322154,-0.031820563,0.215865378,0.283489124,0.326999728,0.353425826,0.155578463,0.145235899,0.213340652,-111.507.761.471.358,-109.873.734.551.595,-0.204530645,148.630.868.658.292,0.833933806,0.282364226,0.289205992,0.840688184,0.15791237,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
183,ASV338,0.330598254,-0.628428319,-0.414166907,0.100717109,-0.052531407,0.274657082,0.322217786,0.342884207,0.14189478,0.131485002,120.367.642.644.658,-195.032.163.017.177,-120.789.146.273.998,0.709801366,-0.399523949,0.251922319,0.074885772,0.250356052,0.491390392,0.696526663,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
184,ASV341,-0.00782389,0.27402729,-0.032494991,-0.502686725,-0.119805966,0.277526424,0.325123792,0.350017104,0.144388534,0.133986793,-0.028191513,0.842839856,-0.092838294,-348.148.644.353.979,-0.894162501,0.978064088,0.419020612,0.927865654,0.005906497,0.392247135,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
185,ASV342,0.363629285,-127.260.366.028.225,-104.437.120.162.478,0.070823563,-0.606503145,0.311986032,0.376664667,0.411497042,0.203629575,0.193674466,116.553.065.857.757,-337.861.172.603.777,-253.797.985.347.696,0.347805877,-313.155.965.545.955,0.273763371,0.008144896,0.031816063,0.735981965,0.012091282,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
186,ASV345,-0.483451839,0.410127641,0.350278809,-0.073961044,0.272506359,0.271082655,0.327487363,0.342553781,0.161446744,0.15114508,-178.341.118.385.571,125.234.646.272.524,102.255.128.476.525,-0.458114186,180.294.561.676.754,0.094761061,0.22961839,0.322729452,0.653436996,0.091519721,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
187,ASV348,-101.273.003.355.049,0.43413271,0.204969554,-0.017298441,0.8096673,0.286432796,0.339296822,0.367159832,0.16433394,0.154053933,-353.566.367.891.978,127.950.715.214.132,0.55825702,-0.105263956,525.573.923.044.064,0.009525121,0.241493197,0.594066443,0.919119214,0.001178811,1,1,1,1,0.845207307,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
188,ASV351,-0.227348659,0.205671871,0.985620546,-0.789783559,-0.108722402,0.284904012,0.335695266,0.355594276,0.152679856,0.142319121,-0.797983354,0.612674326,277.175.593.614.807,-517.280.785.796.771,-0.763933903,0.447917389,0.557102194,0.024230912,0.000850207,0.466837454,1,1,1,0.54498297,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
189,ASV355,-0.404770139,0.305704885,0.285790438,0.014332963,0.057057325,0.279599854,0.328817226,0.349188964,0.146218793,0.135824394,-1.447.676.503.818,0.929710675,0.818440638,0.098024085,0.420081573,0.178321555,0.374419152,0.432176057,0.923850144,0.683309189,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
190,ASV357,0.050370402,-0.29981467,0.044777457,-0.164179491,-0.186409089,0.283066862,0.327072937,0.355066847,0.153363144,0.143006548,0.177945246,-0.916659976,0.126109936,-107.052.768.030.469,-130.350.037.320.633,0.861734538,0.377375211,0.901733203,0.305441783,0.216858036,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
191,ASV359,-0.734398972,0.891697371,0.733681028,-0.565391807,0.39000845,0.325904821,0.359934051,0.376240555,0.186628017,0.176530901,-225.341.549.485.934,247.739.097.641.049,195.003.174.890.447,-302.951.193.631.637,220.929.281.091.762,0.043727114,0.029096856,0.074923613,0.010476086,0.047340508,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
192,ASV361,0.73080326,-118.677.286.299.809,-0.683800394,-0.434499252,-0.086670055,0.281729613,0.330660105,0.35580464,0.143926314,0.133522903,259.398.808.691.863,-358.910.206.117.095,-192.184.226.104.684,-301.890.071.673.896,-0.649102533,0.031914638,0.007093742,0.090857014,0.016587214,0.534459016,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
193,ASV364,0.416941606,-0.731997152,-0.744232389,0.143606745,-0.049260932,0.273735648,0.316821085,0.345223814,0.144541709,0.134140539,1.523.154.213.468,-231.044.329.873.705,-215.579.679.070.139,0.993531525,-0.367233742,0.149985319,0.036617542,0.048985051,0.337313543,0.71893634,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
194,ASV370,-0.502787609,0.568233349,0.848463943,-0.549106038,-0.18622173,0.27400323,0.321197561,0.343393832,0.137203533,0.126786156,-183.496.964.439.821,176.910.853.872.484,247.081.881.674.762,-400.212.754.046.699,-14.687.859.977.513,0.0936722,0.104556726,0.031076239,0.00207862,0.169899266,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
195,ASV371,0.760824092,-195.403.478.428.371,-128.001.270.562.689,NA,0.090216915,0.320533682,0.35414252,0.389021208,NA,0.159826499,237.361.667.429.371,-551.765.087.370.371,-329.034.171.057.788,NA,0.564467818,0.098182367,0.011724578,0.046066174,1,0.611886096,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
196,ASV373,0.017413973,-0.074157017,0.03005098,-0.663807592,0.112635013,0.29178521,0.329198717,0.360912486,0.174615719,0.164417917,0.059680795,-0.225265206,0.083263898,-380.153.399.732.433,0.685053155,0.95310584,0.824458644,0.934614301,0.001426089,0.502544979,1,1,1,0.898436047,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
197,ASV377,0.160952083,-0.935758906,-0.466300241,0.1049436,0.190386864,0.279159338,0.324080896,0.347437979,0.138300731,0.127884127,0.576559912,-288.742.384.384.698,-134.211.073.341.664,0.758807268,148.874.507.059.519,0.576983419,0.016178419,0.209236008,0.465476931,0.167397911,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
198,ASV379,0.891560754,-109.617.867.222.891,-130.766.794.150.195,-0.359076512,0.339650681,0.271133275,0.316225987,0.343688953,0.149483413,0.139104679,328.827.494.063.489,-346.644.082.305.564,-380.480.061.796.196,-240.211.609.316.831,24.416.912.753.812,0.004977128,0.003453343,0.001726204,0.029701817,0.02748618,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
199,ASV380,-0.012451859,-0.618119747,-0.196015461,0.307164082,-0.099547564,0.28638937,0.333380731,0.35378717,0.158483649,0.148160734,-0.043478776,-185.409.559.980.835,-0.554049095,193.814.367.252.003,-0.671888976,0.965893392,0.083493306,0.587710639,0.071662405,0.511870895,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
200,ASV381,-131.177.619.027.603,-0.47919798,-131.048.100.394.195,120.108.511.246.748,-0.091535696,0.2808672,0.335033696,0.352124394,0.144777925,0.13437765,-467.044.991.107.211,-143.029.786.450.543,-372.164.219.908.774,829.605.141.657.132,-0.681182445,0.001167848,0.186417528,0.004758529,1.65E+09,0.512899807,0.838514846,1,1,0.011609918,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
201,ASV382,0.155450772,-0.672556669,-0.301875317,0.283310675,0.079582112,0.278736484,0.32971685,0.34451686,0.143311338,0.132905829,0.557697973,-203.980.072.119.583,-0.876227994,197.688.946.239.716,0.598785712,0.589316343,0.068670237,0.40146426,0.076266116,0.562633419,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
202,ASV385,0.037390693,-0.072127219,0.2200993,-0.485005642,-0.164544921,0.2783321,0.326845903,0.354474262,0.146557303,0.136164382,0.134338415,-0.220676528,0.620917576,-330.932.428.868.651,-120.842.850.241.575,0.896091181,0.830269155,0.550053322,0.009093701,0.257673954,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
203,ASV388,0.938365705,-119.346.524.987.558,-114.301.079.739.705,-109.188.383.799.645,0.169834646,0.274669251,0.321873669,0.34389209,0.13620864,0.125791162,341.634.785.273.453,-370.786.853.466.537,-33.237.484.354.374,-801.625.973.802.158,135.013.178.343.542,0.005760275,0.003453948,0.006786043,6.41E+08,0.204099043,1,1,1,0.004561987,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
204,ASV389,-0.295233357,-0.760488129,0.543059221,0.753399354,-0.091087635,0.288659276,0.326986389,0.351869569,0.147976333,0.137589989,-102.277.453.759.974,-232.574.857.585.508,154.335.375.735.053,509.135.035.722.136,-0.662022256,0.328381497,0.040168917,0.151009092,0.000348731,0.521584605,1,1,1,0.229814055,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
205,ASV390,-0.637729962,0.242107107,0.418716952,0.122867258,0.139378883,0.271006513,0.320641943,0.335927127,0.143148351,0.13274231,-235.319.053.580.584,0.755069983,124.645.173.979.019,0.858321153,104.999.591.484.228,0.033757488,0.462721235,0.233051872,0.405170942,0.311508094,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
206,ASV391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
207,ASV392,0.699605024,-109.592.750.572.108,-0.876281431,NA,0.000305796,0.293562192,0.338936439,0.360619757,NA,0.139375266,238.315.778.726.542,-323.343.075.726.702,-242.993.184.069.046,NA,0.002194046,0.041014847,0.010266081,0.037986802,1,0.998297269,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
208,ASV393,0.659415737,-0.88714176,-0.5064059,-0.000684041,-0.176351473,0.274737161,0.321263161,0.342057187,0.139329477,0.128914186,240.016.943.624.539,-276.141.763.660.945,-148.047.145.023.972,-0.00490952,-13.679.756.960.137,0.033508295,0.017233832,0.164518692,0.99616346,0.196390684,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
209,ASV394,-0.798028356,0.563956227,0.217093349,0.063213958,-0.005882354,0.267711175,0.315744452,0.333587687,0.134585161,0.124168854,-298.093.030.998.555,178.611.603.091.463,0.650783459,0.469694857,-0.047373826,0.009919353,0.095748962,0.525723827,0.645805074,0.962884458,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
210,ASV395,-0.420293107,0.347370583,0.149521898,0.404911635,-0.071941635,0.275244478,0.32282513,0.346552076,0.137679015,0.12726189,-152.698.106.805.777,107.603.327.614.683,0.431455786,294.098.294.914.554,-0.565303842,0.157754056,0.307187173,0.675290431,0.014760665,0.584326321,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
211,ASV398,-0.736988481,-0.002531285,12.165.972.653.944,0.719184383,-0.474501205,0.280403987,0.332779576,0.3409407,0.152001996,0.141637251,-262.830.956.621.623,-0.007606491,356.835.445.663.052,473.141.407.680.318,-335.011.588.636.121,0.020854291,0.994046447,0.003433598,0.000392345,0.005219544,1,1,1,0.256985779,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
212,ASV399,0.50393917,-123.161.588.675.703,-0.610874529,-0.163743617,-0.15419181,0.274671972,0.321505023,0.339463141,0.13992928,0.129515002,183.469.454.984.508,-383.078.271.587.581,-179.953.124.640.803,-117.018.837.732.996,-119.053.243.011.175,0.089531221,0.002082042,0.095176236,0.262931162,0.255123354,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
213,ASV401,-0.271312475,0.275525823,0.516883471,0.17843074,-0.17169837,0.273534598,0.319577864,0.337342741,0.137416763,0.126999483,-0.991876267,0.862155531,153.222.052.272.533,129.846.414.399.344,-135.196.117.326.893,0.3393616,0.404225759,0.149435718,0.21669018,0.19944155,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
214,ASV402,-0.290662106,-0.58112551,-0.733041494,0.20966227,0.532219156,0.290505174,0.33663896,0.368325295,0.159747366,0.149433379,-100.054.020.309.378,-172.625.743.968.136,-199.020.133.737.697,131.246.151.409.185,356.158.147.824.275,0.343188909,0.118378209,0.077771361,0.221846598,0.006104146,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
215,ASV404,-0.599177592,0.739069916,0.742526521,-0.534149097,-0.00034322,0.27791289,0.323952027,0.34143936,0.140221715,0.129807994,-215.599.064.904.686,228.141.778.631.877,21.746.951.499.695,-380.931.796.484.379,-0.002644055,0.052083076,0.041571616,0.050369928,0.002487307,0.997933799,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
216,ASV406,0.59340071,-224.072.465.416.125,-0.352454623,-248.519.236.216.665,-0.024804095,0.281744705,0.329919533,0.350412033,0.135177662,0.124760727,210.616.455.148.512,-679.173.080.692.902,-100.582.911.130.454,-18.384.637.791.463,-0.198813326,0.073201832,0.000255117,0.347993359,3.49E+07,0.848060001,1,0.179347522,1,0.000252014,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
217,ASV408,-0.734264233,0.489638487,0.35468055,0.001458291,0.441281274,0.27615973,0.320952371,0.346004972,0.140004527,0.129590389,-2.658.838.905.152,152.557.990.389.831,102.507.356.374.507,0.010416026,340.520.064.285.813,0.022232746,0.155338668,0.327343006,0.991875873,0.005874857,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
218,ASV416,-0.583300965,-132.368.510.540.211,0.64695132,0.654708274,0.078913012,0.283818429,0.33764929,0.349906953,0.155712384,0.145370696,-205.519.059.423.334,-392.029.583.054.352,184.892.387.409.899,420.459.988.495.272,0.542839885,0.064397121,0.002391621,0.091503068,0.001474114,0.598066883,1,1,1,0.92721762,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
219,ASV417,0.393109912,-146.453.943.044.079,-0.82062311,0.159754373,-0.397741845,0.302062943,0.35886746,0.355289844,0.185149995,0.175040408,130.141.720.543.869,-408.100.369.307.199,-230.972.859.052.444,0.862837573,-227.228.587.333.712,0.212750349,0.000983424,0.035549144,0.401812101,0.038214152,1,0.665777857,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
220,ASV420,-0.042222347,-0.991477466,-0.470771418,0.329607178,0.262305096,0.274080138,0.322046292,0.353573656,0.157122192,0.146789908,-0.154051103,-307.867.996.032.707,-133.146.632.728.374,209.777.608.591.332,178.694.230.583.914,0.879622965,0.007642836,0.202917302,0.053277683,0.094167741,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
221,ASV421,0.02056596,0.12207707,0.325245168,-0.619461572,-0.430038842,0.2757813,0.32018245,0.340830386,0.136536245,0.126118735,0.074573437,0.38127346,0.954272803,-453.697.529.911.591,-34.097.935.028.287,0.941782847,0.709665111,0.358774102,0.000681407,0.005175219,1,1,1,0.440189129,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
222,ASV423,-0.028606621,-0.529629657,0.481962926,-160.153.060.357.623,0.030719511,0.283507031,0.332274524,0.352538306,0.135567151,0.125149931,-0.100902685,-159.395.204.792.327,136.712.214.701.073,-11.813.559.469.615,0.245461672,0.922915029,0.162056077,0.220590153,2.22E+09,0.814279358,1,1,1,0.015585618,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
