,taxon,lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere
20,ASV32,-0.38579212,0.657798746,104.359.086.580.156,0.315244435,0.36941077,0.418098334,-12.237.872.485.212,178.067.018.986.162,249.604.167.465.029,0.230882817,0.085445801,0.018493659,1,0.878435144,0.208619792,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
21,ASV33,-0.114756772,406.838.792.067.221,418.314.469.237.991,0.339497453,0.371804493,0.358471335,-0.338019537,109.422.774.581.082,116.693.980.358.344,0.746861906,3.46E+09,2.39E+09,1,0.000355549,0.000269255,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
22,ASV34,-642.784.914.147.257,-336.136.392.325.408,306.648.521.821.849,0.338611549,0.370703876,0.362033469,-189.829.589.822.584,-906.751.760.478.443,847.017.053.625.215,2.80E+07,4.06E+09,6.32E+09,3.16E+08,0.000417721,0.000586407,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
23,ASV38,-0.678791134,-0.013151374,0.66563976,0.282556153,0.320026332,0.365765669,-240.232.295.804.709,-0.041094662,181.985.302.744.912,0.021731599,0.967453965,0.077343082,0.245145747,1,0.79513424,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
24,ASV39,120.492.449.324.109,0.097447378,-110.747.711.544.265,0.289918754,0.324750389,0.364524102,415.607.641.247.407,0.300068549,-303.814.510.325.564,0.000331529,0.766605816,0.005508357,0.003739848,1,0.056629281,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
25,ASV40,-218.504.202.523.556,103.460.899.664.137,321.965.102.187.692,0.374938464,0.461452064,0.423620418,-58.277.350.364.522,224.207.253.186.402,76.003.206.743.996,0.000392573,0.055246501,6.30E+09,0.004035894,0.512721356,0.000711024,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
26,ASV41,0.612735118,102.387.972.425.535,0.411144606,0.302842601,0.348603136,0.37537908,202.327.914.460.486,29.370.926.927.843,109.527.842.256.986,0.054318473,0.007202626,0.28426485,0.558427163,0.081250033,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
27,ASV42,-140.663.437.347.513,0.555480032,196.211.440.595.285,0.298225974,0.301147295,0.359006184,-47.166.729.087.263,184.454.597.845.452,546.540.559.563.241,5.18E+09,0.074998447,6.26E+08,0.000532476,0.696031503,7.06E+09,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
28,ASV43,-0.294990219,0.261518917,0.556509137,0.30400566,0.350303621,0.3819566,-0.970344499,0.746549283,145.699.573.248.864,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
29,ASV45,-180.802.012.381.491,-0.709526556,109.849.356.820.918,0.34393716,0.395025285,0.391655105,-525.683.274.622.282,-179.615.478.657.154,280.474.722.328.801,1.37E+09,0.083268496,0.009051003,0.000155067,0.772782619,0.093049851,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
30,ASV50,-0.111951696,-0.198512466,-0.08656077,0.269325204,0.284136244,0.346767025,-0.415674783,-0.69865239,-0.249622265,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
31,ASV51,-103.462.812.070.159,-0.700793152,0.333834969,0.359875962,0.393276387,0.376015559,-287.495.756.465.242,-178.193.549.098.157,0.887822222,0.008554692,0.087968934,0.383827036,0.096502169,0.904374504,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
32,ASV54,-426.466.964.752.151,-185.752.429.063.825,240.714.535.688.326,0.328858229,0.365109646,0.376102098,-129.681.098.721.802,-508.757.933.849.146,640.024.442.187.737,5.22E+06,0.000350795,5.08E+09,5.89E+07,0.00325559,0.000522136,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
33,ASV55,0.330111241,0.078837516,-0.251273726,0.277679083,0.300506987,0.350306959,118.882.285.661.254,0.262348362,-0.717295843,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
34,ASV56,-0.003861687,-0.39253921,-0.388677523,0.293419424,0.313556345,0.365744784,-0.013160981,-125.189.369.369.769,-106.270.147.989.478,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,ASV58,-117.759.959.200.737,0.302424846,148.002.443.847.144,0.300561055,0.345844506,0.368327211,-391.800.458.415.876,0.874453232,401.823.269.161.491,0.000549563,0.38958371,0.000421723,0.00564984,1,0.004757292,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
36,ASV60,-0.502861773,-0.419433037,0.083428736,0.317836463,0.361545735,0.404698552,-158.213.997.070.963,-116.011.059.346.493,0.206150319,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
37,ASV61,-437.576.562.803.998,0.303028533,467.879.416.080.302,0.341476123,0.374526714,0.359550437,-12.814.265.282.528,0.809097246,130.129.007.658.791,1.39E+09,0.449345098,1.27E+09,0.000142636,1,0.000142636,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
38,ASV63,-0.268922587,0.408506286,0.677428873,0.319240084,0.372180845,0.401518431,-0.842383523,10.976.015.871.845,168.716.756.517.443,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
39,ASV65,-399.931.073.140.122,-0.038907018,396.040.371.317.763,0.34145609,0.375777751,0.360871088,-117.125.183.996.042,-0.103537312,10.974.566.399.921,2.34E+09,0.920910558,3.40E+08,0.000263577,1,0.000349576,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
40,ASV66,-0.906849066,-0.654114964,0.252734102,0.366668584,0.403019767,0.387585469,-247.321.178.871.158,-162.303.444.343.132,0.652073213,0.02053943,0.117126314,0.520304644,0.231697344,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
41,ASV67,0.147840561,0.649096308,0.501255747,0.316697621,0.335564298,0.34740724,0.466819298,193.434.257.504.882,144.284.772.748.052,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,ASV72,0.329961856,-0.3186365,-0.648598357,0.279758941,0.310663158,0.363473442,117.945.061.849.811,-102.566.555.370.769,-178.444.497.531.933,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,ASV77,-419.797.877.292.988,0.012549696,421.052.846.890.623,0.342066007,0.3736792,0.358142595,-122.724.231.373.907,0.033584144,117.565.699.491.109,1.78E+09,0.974298132,2.29E+09,0.00020114,1,0.000235055,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
44,ASV79,-148.094.914.805.441,-0.776670423,0.704278725,0.351831955,0.389516596,0.379525313,-420.925.140.197.433,-199.393.409.942.205,185.568.313.905.473,0.000289017,0.057175664,0.075325728,0.003260292,0.587800836,0.699068876,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
45,ASV80,-465.423.789.215.828,-337.258.180.313.247,128.165.608.902.581,0.339081854,0.412489803,0.404041261,-13.726.001.093.725,-817.615.800.898.104,317.209.209.204.846,0.000163216,0.001218537,0.03379001,0.001841172,0.012527307,0.313591981,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
46,ASV82,0.646462684,107.376.678.695.865,0.427304103,0.312428462,0.331909017,0.345563791,206.915.426.051.626,323.512.387.917.333,123.654.189.079.936,0.055084289,0.005180643,0.234101677,0.566300214,0.058440824,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
47,ASV83,0.985488091,0.909264811,-0.07622328,0.312400006,0.328741509,0.348244244,315.457.129.465.751,276.589.595.460.046,-0.218878793,0.006136055,0.013776192,0.829512074,0.069218462,0.141627685,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
48,ASV89,-111.184.202.903.341,-126.022.487.833.176,-0.148382849,0.376448345,0.391688501,0.353499632,-295.350.489.186.362,-321.741.606.828.954,-0.4197539,0.012065391,0.007389822,0.682082581,0.12403961,0.083361722,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
49,ASV91,0.060749719,141.770.180.175.364,135.695.208.281.904,0.320804878,0.341633376,0.345658399,0.189366569,414.977.546.847.142,392.570.261.843.575,0.853254413,0.001617067,0.002369503,1,0.01824151,0.024359941,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
50,ASV92,-149.300.004.681.486,0.635092231,212.809.227.789.524,0.299418785,0.319811431,0.343931253,-498.632.724.966.509,198.583.343.227.777,618.755.131.630.855,5.45E+09,0.059652935,3.15E+08,0.00055986,0.553615754,3.56E+09,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
51,ASV93,0.368974939,0.179368242,-0.189606697,0.309380956,0.318538584,0.362582588,119.262.330.533.465,0.56309738,-0.522933818,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,ASV97,-0.530255194,-0.375660096,0.154595098,0.334614314,0.366724622,0.403877278,-158.467.576.347.498,-102.436.562.300.791,0.382777409,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
53,ASV99,-108.515.863.932.231,-0.570246341,0.514912298,0.320691425,0.36083362,0.370900267,-338.380.933.605.008,-158.035.811.773.214,138.827.696.846.839,0.002453253,0.127115564,0.17780537,0.027674195,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
54,ASV100,-110.194.988.719.441,-0.620245366,0.481704521,0.322218625,0.359205634,0.370881432,-341.988.265.694.652,-172.671.391.416.496,129.881.002.190.562,0.002077868,0.096084102,0.205410502,0.023439619,0.987803394,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
55,ASV103,0.65701317,103.852.697.222.267,0.381513802,0.31805214,0.338205867,0.352653672,20.657.404.480.854,307.069.472.412.366,108.183.703.140.015,0.052765049,0.00629266,0.292864999,0.54245701,0.070985062,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
56,ASV108,-468.468.881.035.016,-305.540.342.982.777,162.928.538.052.239,0.340525762,0.413946866,0.402876908,-137.572.228.978.734,-738.114.883.582.979,404.412.700.229.939,0.000831149,0.00514187,0.027214557,0.009375865,0.052861574,0.252567752,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
57,ASV109,111.545.481.459.416,0.986009427,-0.129445387,0.310873558,0.329499306,0.350824336,358.813.023.737.782,299.244.766.070.676,-0.368974937,0.002266548,0.008185413,0.716701661,0.025568045,0.084151054,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
58,ASV110,-0.44785377,-0.603041076,-0.155187305,0.312775308,0.347381352,0.368045568,-14.318.706.061.246,-173.596.271.472.098,-0.421652423,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
59,ASV111,-0.393938299,0.967557008,136.149.530.702.595,0.322068901,0.343547345,0.345990905,-12.231.491.382.972,281.637.166.192.988,393.506.096.680.784,0.244750566,0.015564356,0.001980488,1,0.160011106,0.022341118,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
60,ASV114,0.669455014,0.294053774,-0.37540124,0.305210433,0.313960517,0.359748779,219.342.113.496.882,0.936594757,-104.350.942.274.455,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,ASV115,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
62,ASV117,0.578922458,0.017616177,-0.561306282,0.294321812,0.31381975,0.35056717,196.697.096.653.895,0.056134698,-160.113.761.432.607,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,ASV120,-374.521.361.206.183,-0.398525008,334.668.860.358.313,0.355443147,0.394765012,0.372389743,-105.367.444.717.506,-100.952.464.397.223,898.705.902.752.207,2.31E+08,0.339092392,8.64E+08,2.61E+09,1,8.88E+09,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
64,ASV121,-0.625155759,-0.515771348,0.109384411,0.335598658,0.344858102,0.386589915,-186.280.768.277.066,-149.560.455.186.785,0.282946883,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
65,ASV122,-0.514301817,189.557.086.426.292,24.098.726.815.308,0.341935373,0.388437217,0.373735562,-150.409.070.919.138,487.999.291.364.583,644.806.897.236.047,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
66,ASV123,-152.720.600.502.639,-0.634110818,0.893095187,0.34925398,0.364085473,0.387364067,-437.276.621.739.308,-174.165.371.701.867,230.557.055.426.318,0.000204708,0.094373795,0.030086849,0.002309234,0.875846595,0.309311233,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
67,ASV125,133.459.796.833.711,114.188.381.862.391,-0.19271415,0.3279744,0.334670055,0.36769043,406.921.384.213.536,341.196.890.072.051,-0.524120656,0.000892372,0.003568877,0.60737963,0.010066499,0.036690243,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
68,ASV126,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,ASV129,-0.123008955,0.677564186,0.800573141,0.325380642,0.341518199,0.379122141,-0.378046322,198.397.680.803.676,211.164.966.104.424,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,ASV130,-869.081.076.041.159,-248.265.713.232.623,620.815.362.808.536,0.33945993,0.372295767,0.359013942,-256.018.752.282.665,-666.850.755.417.981,172.922.354.773.845,2.34E+07,0.000550316,2.40E+08,2.64E+08,0.005107267,2.46E+09,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
71,ASV131,-11.868.157.208.799,-0.638743231,0.54807249,0.315034249,0.354523519,0.374384994,-376.725.935.690.155,-180.169.494.316.914,146.392.750.398.836,0.00085529,0.083201658,0.155200404,0.009648197,0.855363981,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
72,ASV133,-0.202164561,-0.359639202,-0.157474641,0.335763294,0.393065885,0.397556976,-0.602104413,-0.914959084,-0.396105843,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
73,ASV135,-0.442263128,-0.38009303,0.062170099,0.30808232,0.324981632,0.354298994,-143.553.556.857.326,-116.958.311.369.804,0.17547354,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
74,ASV138,0.874158051,0.956899034,0.082740983,0.30580659,0.328795342,0.351138444,285.853.242.045.571,291.031.809.588.792,0.235636356,0.009711052,0.008652332,0.816110967,0.099835558,0.097603606,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
