"taxon" "lfc_(Intercept)" "lfc_MicrocompartmentPhyllosphere" "lfc_MicrocompartmentRhizosphere" "lfc_SoilOriginSoilB" "lfc_PlantConditionHealthy" "se_(Intercept)" "se_MicrocompartmentPhyllosphere" "se_MicrocompartmentRhizosphere" "se_SoilOriginSoilB" "se_PlantConditionHealthy" "W_(Intercept)" "W_MicrocompartmentPhyllosphere" "W_MicrocompartmentRhizosphere" "W_SoilOriginSoilB" "W_PlantConditionHealthy" "p_(Intercept)" "p_MicrocompartmentPhyllosphere" "p_MicrocompartmentRhizosphere" "p_SoilOriginSoilB" "p_PlantConditionHealthy" "q_(Intercept)" "q_MicrocompartmentPhyllosphere" "q_MicrocompartmentRhizosphere" "q_SoilOriginSoilB" "q_PlantConditionHealthy" "diff_(Intercept)" "diff_MicrocompartmentPhyllosphere" "diff_MicrocompartmentRhizosphere" "diff_SoilOriginSoilB" "diff_PlantConditionHealthy" "passed_ss_(Intercept)" "passed_ss_MicrocompartmentPhyllosphere" "passed_ss_MicrocompartmentRhizosphere" "passed_ss_SoilOriginSoilB" "passed_ss_PlantConditionHealthy"
"12" "Fibrobacterota" -1.49186673677938 2.27131188917592 1.67989811302815 -1.40193015386032 0.0659328572738065 0.268899055941893 0.310474452546398 0.343976882191052 0.167430457733199 0.15706390456075 -5.54805494408934 7.31561605326122 4.88375294969708 -8.37320863145643 0.419783638119762 2.88075746473736e-05 8.54844178703971e-07 0.000119477251678594 1.27254184177344e-07 0.679611427024383 0.00063376664224222 1.79517277527834e-05 0.0021505905302147 2.16332113101485e-06 1 TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE TRUE
"13" "Firmicutes" -0.335530728155184 0.240402664945685 0.338728519569431 0.0227972294105659 -0.27482998857598 0.319241887218823 0.288988309891927 0.337270556285329 0.199441003365063 0.189289050626636 -1.05102350784312 0.831876780882896 1.00432283001564 0.114305629363673 -1.45190642388539 0.299118803210941 0.410074603832064 0.320841455802315 0.90952758896981 0.153785453057034 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE TRUE TRUE
"14" "Gemmatimonadota" -0.962865095469115 2.44119170353425 3.03181461553903 -3.39900763226163 0.365478804944061 0.429339880158883 0.48830576923387 0.497340569634049 0.360784723209465 0.351599963010274 -2.24266400575878 4.99930956655369 6.09605328953938 -9.42115176614123 1.03947338849231 0.031754654524051 1.8484527124056e-05 7.27408440768121e-07 7.05179714999022e-11 0.306141135933259 0.539829126908867 0.000351206015357064 1.60029856968987e-05 1.532786502023e-09 1 FALSE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE TRUE
"15" "Halanaerobiaeota" -0.406931264751099 0.0240972227517261 0.576557351657267 0.0519670306938423 -0.219854198469238 0.292109834053519 0.343293134203143 0.335213157637061 0.193700277604313 0.183505506054371 -1.39307622446063 0.0701943043739019 1.71997231767827 0.2682857832553 -1.19807957372187 0.176367011036732 0.944620633219436 0.0983090766845817 0.790771891972189 0.242584149649631 1 1 0.884781690161236 1 1 FALSE FALSE FALSE FALSE FALSE TRUE FALSE TRUE TRUE TRUE
"16" "Latescibacterota" -2.58605368245941 3.67141756153822 2.23100153026208 -0.986009910745126 0.148550727979291 0.269421518907565 0.313339856962152 0.3357354419746 0.149929549256072 0.139517256913587 -9.59854169386763 11.7170461400373 6.6451177067891 -6.57648819487258 1.06474805529827 8.54340109592526e-08 5.98537988817499e-09 7.80627693622375e-06 8.78570069579407e-06 0.30383010323687 1.96498225206281e-06 1.37663737428025e-07 0.000156125538724475 0.000131785510436911 1 TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE TRUE
"17" "Myxococcota" -0.235805818754669 1.41090681615509 1.72896691934715 -2.46350458762887 0.182148885920839 0.50202031019017 0.462487487818365 0.450204555345923 0.321408506009199 0.312043977714947 -0.469713702749086 3.05069186370983 3.84040298752346 -7.66471497041947 0.583728252840158 0.641110250822184 0.00404137574263844 0.000428617666437184 2.26371487181732e-09 0.562680545176188 1 0.0646620118822151 0.00642926499655776 4.52742974363463e-08 1 FALSE FALSE TRUE TRUE FALSE TRUE TRUE TRUE TRUE TRUE
"18" "Nitrospirota" -0.405871743265017 1.31716166311526 2.07678944565455 -3.1133278058712 0.212947392889771 0.315852865965413 0.338449603869885 0.34911350364358 0.218322648875971 0.20831301207329 -1.28500256606651 3.89175123284126 5.94875140600348 -14.2602145123289 1.02224719795636 0.208309909062692 0.000493086428264073 1.41984787377387e-06 3.67007430686624e-15 0.314575520598683 1 0.00838246928048924 2.98168053492513e-05 8.44117090579236e-14 1 FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE TRUE
"19" "Patescibacteria" -0.118907385311955 -1.0040716152969 -2.31036422088659 0.55932333970284 -0.12532062752492 0.304209570563944 0.34898143377495 0.365547647852201 0.163085036100965 0.152698644934948 -0.390873255866095 -2.87714909196117 -6.32028200553687 3.42964230854733 -0.820705564075621 0.707514712673311 0.0237481139784454 0.000396360878317355 0.0109905459280923 0.438864908437508 1 0.308725481719791 0.00634177405307769 0.0879243674247386 1 FALSE FALSE TRUE FALSE FALSE TRUE TRUE TRUE FALSE TRUE
"20" "Planctomycetota" -0.292753213626665 0.811025853488981 1.1771646181292 -1.38201043592945 -0.0491212220799633 0.313253563123196 0.373395657566313 0.429611338459103 0.26508041316809 0.255397219477811 -0.934556691735161 2.17202808081652 2.7400687848495 -5.21355168951356 -0.192332642385055 0.357733887158259 0.0381721798108465 0.0104008953767735 1.40109374954385e-05 0.8488221712988 1 0.458066157730159 0.135211639898055 0.000182142187440701 1 FALSE FALSE FALSE TRUE FALSE TRUE FALSE FALSE TRUE TRUE
"21" "Proteobacteria" 0.055192434085371 -0.520230107468007 0.698540687233634 -0.840939823413093 0.074674476266229 0.272995604538805 0.324267390123345 0.327501937524701 0.227309151884632 0.21736609151649 0.202173343335005 -1.60432446589872 2.13293604463317 -3.69954230369 0.343542434540964 0.840734711301967 0.115963239335495 0.0386788706626284 0.000608970697409421 0.732864565592248 1 1 0.425467577288912 0.00608970697409421 1 FALSE FALSE FALSE TRUE FALSE TRUE FALSE TRUE TRUE TRUE
"22" "Spirochaetota" -0.320424954563353 0.767285163569898 0.306665379975214 -0.365266939095708 -0.327650306237976 0.288897619239614 0.338141779007744 0.355221731609237 0.176121633997747 0.165804629964911 -1.10912978586227 2.26912263199611 0.863306922653489 -2.07394702629423 -1.97612277960704 0.291033999228327 0.0443758557449716 0.406398616412829 0.062346622298389 0.0737564018017416 1 0.488134413194687 1 0.436426356088723 1 FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE TRUE
"23" "Verrucomicrobiota" -0.248740376324448 1.14738047550436 1.76688536903111 -2.35483445867355 0.162291473894914 0.442057067422939 0.467412867719506 0.422459947925991 0.328424090955889 0.319093921490065 -0.562688382688984 2.45474730103686 4.18237368466618 -7.17010269197891 0.508600957163541 0.576951970371553 0.0187896052322636 0.000163771622578937 1.44936124531326e-08 0.613972270679778 1 0.26305447325169 0.00278411758384193 2.75378636609519e-07 1 FALSE FALSE TRUE TRUE FALSE TRUE TRUE TRUE TRUE TRUE
