"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy" "diff_robust_(Intercept)" "diff_robust_Soil.originSoilB" "diff_robust_Plant.conditionHealthy"
"587" "ASV4349" 0.968303986500362 -2.3712849882451 NA 0.116422027500803 0.237797953813597 NA 8.31718882832272 -9.97184773971556 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"588" "ASV4395" -0.0717637631668119 0.685167280833781 NA 0.142887380469303 0.292020376769923 NA -0.502240036391661 2.34629955762851 NA 0.665340229512703 0.14354491600563 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"589" "ASV4469" 0.231350589380082 -0.294256967575022 NA 0.116422027500803 0.237797953813597 NA 1.98717196690708 -1.2374243043558 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"590" "ASV4496" 0.543909207559792 1.09785677219635 -1.50290248779964 0.114472491292641 0.233763414961401 0.210570277773839 4.75144029292879 4.69644393404171 -7.13729641091046 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"591" "ASV4520" -0.0119341455662852 0.409751001983944 NA 0.116827416854102 0.238635935447653 NA -0.102151925358317 1.71705489877415 NA 0.935192861835575 0.335735593900574 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"592" "ASV4525" -0.00573765049070429 -1.03310923198135 0.401743690476946 0.111865208372042 0.228354657821751 0.205137128019155 -0.0512907504862634 -4.52414346103584 1.95841530178502 0.963755791967248 0.0455451753343891 0.189281969362119 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"593" "ASV4554" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"594" "ASV4577" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"595" "ASV4600" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"596" "ASV4654" -0.183370981265723 0.273018391893588 NA 0.116422027500803 0.237797953813597 NA -1.57505400998499 1.14811077015238 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"597" "ASV4750" 0.181510945480974 -0.127987330482763 -0.251871649279922 0.112612984201114 0.229907524252378 0.206695948820856 1.6118118773659 -0.556690481962071 -1.21856113154022 0.353514262641607 0.676619219853682 0.437485241155124 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
