taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy),structural_zero,lfc_(Intercept),lfc_Soil.originSoilB,lfc_Plant.conditionHealthy,se_(Intercept),se_Soil.originSoilB,se_Plant.conditionHealthy,W_(Intercept),W_Soil.originSoilB,W_Plant.conditionHealthy,p_(Intercept),p_Soil.originSoilB,p_Plant.conditionHealthy,q_(Intercept),q_Soil.originSoilB,q_Plant.conditionHealthy,diff_(Intercept),diff_Soil.originSoilB,diff_Plant.conditionHealthy,passed_ss_(Intercept),passed_ss_Soil.originSoilB,passed_ss_Plant.conditionHealthy,
1,ASV5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,ASV6,FALSE,FALSE,FALSE,0.077997463,0.603331252,-0.486172679,0.119350987,0.229645654,0.206436961,0.653513344,262.722.695.228.351,-235.506.605.028.226,0.531755389,0.030308399,0.046313551,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3,ASV7,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,ASV8,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,ASV9,FALSE,FALSE,FALSE,0.01054691,0.193892175,-0.275877131,0.114393826,0.238632072,0.215400089,0.092198243,0.812515153,-128.076.609.572.522,0.932352295,0.475984105,0.290314686,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
6,ASV10,FALSE,FALSE,FALSE,0.171590914,0.076385064,-0.354705451,0.113205547,0.236216446,0.212986472,151.574.651.253.588,0.323368948,-166.538.957.391.462,0.268828479,0.777096501,0.237751888,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
7,ASV11,FALSE,FALSE,FALSE,0.611568924,-10.285.369.358.652,-0.323651029,0.214298902,0.403152949,0.381433339,285.381.267.710.643,-255.123.257.315.091,-0.848512692,0.013557503,0.024136254,0.411504511,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,ASV14,FALSE,FALSE,FALSE,0.588973987,-0.902937363,-0.443232331,0.211001875,0.375895835,0.353908313,279.132.110.700.054,-240.209.461.819.752,-125.239.310.470.252,0.016304555,0.033390857,0.234285106,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,ASV15,FALSE,FALSE,FALSE,0.451144735,-0.852146788,-0.316122298,0.202464657,0.387099282,0.365224039,22.282.641.390.539,-220.136.493.950.281,-0.865557204,0.047670993,0.049966842,0.40521541,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,ASV17,FALSE,FALSE,FALSE,-0.119377444,-0.005058788,0.11476356,0.168682651,0.330845956,0.30838217,-0.70770434,-0.015290464,0.372147197,0.491622648,0.988032626,0.715779264,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,ASV20,FALSE,FALSE,FALSE,-0.45240898,0.431294568,0.670749189,0.223265488,0.330600025,0.308133567,-202.632.741.966.226,130.458.117.440.672,217.681.311.591.131,0.082357868,0.23328675,0.065950284,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
12,ASV21,FALSE,FALSE,FALSE,-0.211702268,0.114037632,0.180316787,0.160042742,0.319946224,0.297363959,-132.278.580.460.092,0.356427498,0.606384133,0.208704452,0.727238633,0.554701444,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,ASV23,FALSE,FALSE,FALSE,-0.020076302,-0.949827046,0.375810997,0.145719278,0.252706779,0.229509453,-0.137773822,-375.861.323.530.155,163.745.323.600.057,0.893452317,0.004494601,0.135961442,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
14,ASV24,FALSE,FALSE,FALSE,-0.182645018,0.09841247,0.13782745,0.167984994,0.33523677,0.312820621,-108.726.984.228.103,0.293561085,0.440595793,0.296665919,0.773727475,0.666743322,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
15,ASV25,FALSE,FALSE,FALSE,-0.33903162,-0.27894697,0.6920413,0.162499246,0.318794219,0.296199448,-208.635.811.628.118,-0.875006362,233.640.307.088.028,0.105263189,0.430965592,0.079691391,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
16,ASV26,FALSE,FALSE,FALSE,-0.58568339,-134.239.858.978.555,154.622.381.485.827,0.290102705,0.402496097,0.380770244,-201.888.289.745.968,-333.518.411.361.911,40.607.790.124.672,0.074255804,0.008726783,0.002838628,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
17,ASV27,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
18,ASV28,FALSE,FALSE,FALSE,-0.379370756,0.165277643,0.388207084,0.229745548,0.34872372,0.326452752,-165.126.488.779.901,0.473950103,118.916.774.701.472,0.129694832,0.645713853,0.261843802,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
19,ASV30,FALSE,FALSE,FALSE,-0.616190787,-0.667214612,110.281.450.870.456,0.250470283,0.352479311,0.330248336,-246.013.530.956.801,-189.291.851.070.957,333.934.917.570.118,0.039310465,0.094998172,0.010241059,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
20,ASV31,FALSE,FALSE,FALSE,0.127266502,-0.917757901,0.165146366,0.133299,0.258899192,0.235735952,0.954744611,-354.484.653.030.643,0.700556553,0.364645728,0.006266304,0.501287756,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
21,ASV32,FALSE,FALSE,FALSE,-0.01263029,0.232576695,-0.190084866,0.198898917,0.373443811,0.35143133,-0.063501052,0.622788993,-0.540887651,0.950506766,0.546117697,0.599366972,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
22,ASV33,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,ASV34,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
24,ASV36,FALSE,FALSE,FALSE,-0.59057394,0.295287381,0.958008381,0.161378033,0.295250236,0.272404778,-365.956.834.486.832,100.012.580.754.869,351.685.601.312.844,0.03525573,0.390950201,0.039005205,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25,ASV38,FALSE,FALSE,FALSE,-0.00484317,-0.941363405,0.500357176,0.142160921,0.253492292,0.230298768,-0.03406822,-371.357.802.190.488,217.264.373.547.693,0.973566364,0.004818238,0.05786379,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
26,ASV39,FALSE,FALSE,FALSE,-0.384905788,0.812452415,0.137059709,0.153255956,0.301634913,0.278855993,-251.152.253.727.189,269.349.594.959.864,0.491507131,0.036284768,0.027348132,0.636268266,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27,ASV40,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
28,ASV41,FALSE,FALSE,FALSE,0.335690935,-172.702.908.073.194,0.724932668,0.22375604,0.345403967,0.323097471,150.025.418.540.448,-500.002.677.229.839,22.436.965.130.031,0.161693121,0.000402513,0.046399755,1,0.909678982,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
29,ASV42,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
30,ASV43,FALSE,FALSE,FALSE,-0.105710818,0.343798139,-0.212896045,0.179166549,0.347391912,0.32510671,-0.590014257,0.98965499,-0.654849739,0.566125791,0.341878774,0.524918398,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
31,ASV45,FALSE,FALSE,FALSE,-0.517661402,-0.795515527,0.93776618,0.239030877,0.364549775,0.342445669,-216.566.750.476.435,-218.218.630.955.992,273.843.784.759.918,0.067044539,0.065429181,0.02898345,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
32,ASV46,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,ASV47,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,ASV48,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,ASV49,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,ASV50,FALSE,FALSE,FALSE,0.038275905,-0.692418392,0.101454493,0.10465927,0.21424497,0.191214653,0.365719203,-323.190.033.613.714,0.530579069,0.725376384,0.014413762,0.612120124,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
37,ASV51,FALSE,FALSE,FALSE,-0.552101856,0.17191822,0.656878437,0.219721795,0.325446765,0.302924288,-251.273.141.142.267,0.528252969,216.845.747.279.021,0.045734065,0.616282744,0.073217565,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
38,ASV52,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,ASV53,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40,ASV54,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
41,ASV55,FALSE,FALSE,FALSE,-0.11146441,-0.197793273,0.140328553,0.129906574,0.260599898,0.237447528,-0.858035177,-0.758992134,0.590987635,0.41583799,0.469627023,0.570844319,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
42,ASV56,FALSE,FALSE,FALSE,-0.055492262,-0.514559062,0.269480628,0.162778586,0.267260883,0.244156287,-0.340906402,-192.530.630.144.813,110.372.184.540.562,0.740997211,0.086319491,0.298348598,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
43,ASV58,FALSE,FALSE,FALSE,0.065714711,-170.512.321.794.006,0.132331111,0.139559763,0.229064326,0.20585878,0.470871474,-744.386.194.474.392,0.64282471,0.654363933,0.0003028,0.544105387,1,0.685538539,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
44,ASV59,FALSE,FALSE,FALSE,-0.008691471,-0.896136623,0.535734824,0.152294034,0.267546317,0.244443935,-0.057070331,-334.946.349.631.943,219.164.703.144.045,0.955613415,0.007371997,0.053187543,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
45,ASV60,FALSE,FALSE,FALSE,-0.38014862,0.509008872,0.090264074,0.239592756,0.42521445,0.403698267,-158.664.487.794.168,119.706.390.797.222,0.223592918,0.156614158,0.270243451,0.829459332,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
46,ASV61,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,ASV62,FALSE,FALSE,FALSE,-0.801436775,102.484.237.953.318,0.461577849,0.140239503,0.273362339,0.250307559,-571.477.191.484.251,37.490.254.951.224,184.404.278.412.013,0.000724216,0.007177315,0.107704368,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,ASV63,FALSE,FALSE,FALSE,0.11180778,0.085312001,-0.420521188,0.217134892,0.386135233,0.364250444,0.514923139,0.220938141,-115.448.366.653.366,0.615959162,0.828855187,0.270775448,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
49,ASV65,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,ASV66,FALSE,FALSE,FALSE,-0.486185961,0.417215503,0.381448257,0.235046592,0.362669079,0.340545388,-206.846.633.154.527,1.150.402.741.947,112.010.988.961.186,0.072401415,0.283201969,0.295164882,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
51,ASV67,FALSE,FALSE,FALSE,0.030190473,-0.793307057,0.013911508,0.111398364,0.230751107,0.207537039,0.271013609,-343.793.392.321.146,0.067031447,0.795462977,0.013835929,0.94873452,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
52,ASV68,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,ASV71,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
54,ASV72,FALSE,FALSE,FALSE,-0.336782125,0.617508731,-0.070974757,0.160734666,0.301035845,0.278250618,-209.526.752.205.803,205.127.974.537.395,-0.255074932,0.060090542,0.064832579,0.803371423,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
55,ASV75,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,ASV76,FALSE,FALSE,FALSE,-0.498394228,0.919095691,0.10927369,0.147141275,0.293696013,0.270834618,-338.718.165.654.937,312.941.153.246.157,0.403470173,0.019521041,0.025974681,0.70327801,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
57,ASV77,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,ASV79,FALSE,FALSE,FALSE,-0.335737448,-0.464462257,0.885842208,0.1969145,0.331449834,0.308992606,-170.499.098.692.337,-14.013.048.398.041,28.668.718.647.245,0.126592703,0.198703243,0.020929254,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
59,ASV80,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,ASV82,FALSE,FALSE,FALSE,0.149174064,-165.425.681.933.994,-0.028069004,0.112397253,0.227590537,0.204394002,132.720.382.624.688,-72.685.659.063.853,-0.137327922,0.232708226,0.000344996,0.895264055,1,0.780381151,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
61,ASV83,FALSE,FALSE,FALSE,0.100957047,-0.847421606,0.172965997,0.13100341,0.221565477,0.198423051,0.77064442,-382.470.057.436.574,0.871703141,0.463067093,0.005055833,0.40876794,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
62,ASV88,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,ASV89,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
64,ASV91,FALSE,FALSE,FALSE,0.261936484,-234.804.162.146.496,-0.007936839,0.117093239,0.229998264,0.206787771,223.699.068.581.069,-102.089.536.669.968,-0.038381568,0.066622204,5.15E+09,0.970628645,1,0.116890247,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
65,ASV92,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
66,ASV93,FALSE,FALSE,FALSE,-0.188799156,-0.015061945,0.10274488,0.133934576,0.241522077,0.218291198,-140.963.716.509.614,-0.062362601,0.470678073,0.192253141,0.951637096,0.64906897,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
67,ASV94,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
68,ASV97,FALSE,FALSE,FALSE,0.030394696,0.79161153,-0.682132487,0.249158836,0.375003216,0.353006624,0.121989237,211.094.597.615.512,-193.235.039.197.858,0.906890741,0.079269098,0.101512856,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
69,ASV99,FALSE,FALSE,FALSE,-0.238003518,0.946300956,-0.328237667,0.198057125,0.297285637,0.274461216,-120.169.127.428.472,318.313.715.078.317,-119.593.460.788.168,0.257168896,0.009767282,0.259309437,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
70,ASV100,FALSE,FALSE,FALSE,-0.311082384,134.972.628.297.213,-0.606449187,0.196566279,0.244947171,0.221722019,-158.258.265.511.593,551.027.503.617.652,-273.517.799.236.361,0.147976077,0.000375167,0.023028567,1,0.84825362,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
71,ASV103,FALSE,FALSE,FALSE,0.071088346,-149.128.285.767.806,0.370470056,0.130159205,0.244323764,0.221097238,0.546164567,-610.371.596.241.054,167.559.784.716.503,0.601917356,0.000489287,0.137724116,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
72,ASV104,FALSE,FALSE,FALSE,-0.091424411,-0.094951888,0.093147264,0.108838682,0.220206542,0.197080666,-0.839999242,-0.431194672,0.472635221,0.433098974,0.681388405,0.653175426,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
73,ASV108,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,ASV109,FALSE,FALSE,FALSE,-0.106509058,-0.35927037,0.151413945,0.129761673,0.23801824,0.214786503,-0.820805215,-150.942.368.904.812,0.704950929,0.43295953,0.165469199,0.498676823,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
75,ASV110,FALSE,FALSE,FALSE,0.065980798,-0.886449802,0.25106927,0.15683755,0.274421381,0.251375739,0.42069516,-323.025.049.395.468,0.998780833,0.683845096,0.010318508,0.343995434,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
76,ASV111,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
77,ASV114,FALSE,FALSE,FALSE,0.014875752,-0.378730171,0.120581168,0.130849145,0.23410244,0.210876637,0.113686278,-161.779.676.989.617,0.571809044,0.912287761,0.14436765,0.583156545,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
78,ASV115,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
79,ASV117,FALSE,FALSE,FALSE,-0.151652777,0.656299714,-0.231322321,0.128834221,0.24471379,0.221488107,-117.711.564.534.775,268.190.735.864.424,-104.440.064.220.849,0.277618551,0.031452229,0.331019559,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
80,ASV120,FALSE,FALSE,FALSE,-0.81868977,140.397.427.999.566,-0.579751285,0.163265228,0.336983012,0.314585771,-501.447.724.672.547,416.630.580.537.415,-184.290.371.413.203,0.037543997,0.053065949,0.206668242,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
81,ASV121,FALSE,FALSE,FALSE,-0.119707729,0.145560142,0.008785797,0.154426532,0.317620876,0.295013376,-0.775175919,0.458282667,0.029781013,0.460532548,0.658941547,0.976971252,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
82,ASV122,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,ASV123,FALSE,FALSE,FALSE,-0.356668262,0.230475328,0.306704684,0.211039537,0.303043369,0.280279323,-169.005.423.033.517,0.760535788,109.428.223.394.261,0.129486422,0.468754466,0.305681174,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
84,ASV124,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
85,ASV125,FALSE,FALSE,FALSE,-0.281787855,0.090796038,0.284298547,0.164899875,0.232585255,0.209363948,-170.884.213.795.847,0.390377445,135.791.548.750.533,0.125856413,0.706446443,0.211547565,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
86,ASV126,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
87,ASV129,FALSE,FALSE,FALSE,0.010909291,-119.884.426.973.217,0.557072721,0.165195206,0.276310896,0.253281876,0.066038785,-43.387.513.348.491,219.941.801.935.208,0.948790647,0.001880892,0.055393119,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
88,ASV130,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
89,ASV131,FALSE,FALSE,FALSE,-0.22930367,131.438.457.357.069,-0.755840404,0.211667691,0.272031132,0.24896506,-108.331.918.401.408,483.174.320.147.443,-303.592.963.757.325,0.306834527,0.000931645,0.014110569,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
90,ASV133,FALSE,FALSE,FALSE,-0.473946315,145.068.991.685.782,0.159732772,0.305177712,0.42342252,0.401890267,-155.301.745.897.493,34.261.047.770.757,0.397453696,0.195377512,0.026630575,0.711329682,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
91,ASV135,FALSE,FALSE,FALSE,0.1041398,0.014027393,-0.295985345,0.121997478,0.244728064,0.221502413,0.853622563,0.057318283,-133.626.239.981.971,0.421561231,0.955893501,0.223264903,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
92,ASV136,FALSE,FALSE,FALSE,-113.397.888.153.176,100.895.569.339.093,0.510878945,0.198691997,0.405061298,0.383359765,-570.721.970.365.659,249.087.162.374.284,133.263.579.347.599,0.00125198,0.047106604,0.231024792,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
93,ASV138,FALSE,FALSE,FALSE,-0.474115106,0.607139112,0.110100158,0.133325759,0.232238208,0.209018116,-355.606.530.050.373,261.429.468.005.423,0.526749357,0.007443297,0.030923297,0.612656328,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
94,ASV139,FALSE,FALSE,FALSE,-152.732.964.158.529,19.666.674.558.189,-0.074729117,0.134713136,0.279684382,0.256685971,-113.376.444.740.098,70.317.385.807.129,-0.291130507,0.05600604,0.08993215,0.819645674,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
95,ASV140,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
96,ASV141,FALSE,FALSE,FALSE,-0.41554382,0.19362927,0.35807189,0.178699366,0.355016099,0.332812008,-232.537.937.206.362,0.545409828,107.589.835.079.153,0.059012757,0.605138515,0.323320462,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
97,ASV143,FALSE,FALSE,FALSE,0.232158751,0.828236704,-0.990122736,0.112460551,0.234611008,0.211383984,206.435.721.774.132,353.025.508.798.866,-468.400.072.085.515,0.130947884,0.038632162,0.018390032,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
98,ASV144,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
99,ASV146,FALSE,FALSE,FALSE,0.013626639,-0.787609056,0.200263069,0.143221789,0.229516907,0.206308891,0.095143613,-343.159.494.376.714,0.970695288,0.927298773,0.013943875,0.369188061,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
100,ASV147,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,ASV148,FALSE,FALSE,FALSE,0.149500234,-213.394.191.951.498,0.083437781,0.112978047,0.225992272,0.20280727,132.326.800.456.575,-944.254.378.430.562,0.411414153,0.233934844,8.03E+09,0.695060742,1,0.182095115,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
102,ASV149,FALSE,FALSE,FALSE,-0.273738605,0.283238958,0.144927479,0.130813489,0.27183276,0.248765023,-20.925.869.900.212,104.196.035.123.294,0.582587846,0.171466768,0.406834813,0.619102274,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
103,ASV150,FALSE,FALSE,FALSE,0.353293162,-175.788.058.254.859,-0.119026344,0.145791127,0.238957327,0.215725284,242.328.300.817.167,-735.646.236.930.961,-0.551749623,0.045870561,0.000155072,0.598284177,1,0.351394056,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
104,ASV152,FALSE,FALSE,FALSE,0.001192122,-0.038774369,-0.104854098,0.139241559,0.275726392,0.252692188,0.008561536,-0.140626252,-0.414947922,0.993378616,0.89164157,0.689084646,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
105,ASV153,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
106,ASV154,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,ASV156,FALSE,FALSE,FALSE,-0.108261441,0.254943457,-0.089845606,0.204722316,0.37585371,0.35386576,-0.52882091,0.678305016,-0.253897425,0.6249134,0.53479159,0.812091768,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
108,ASV157,FALSE,FALSE,FALSE,0.976551531,0.033656692,-202.860.599.515.073,0.120728691,0.251475229,0.228272277,808.881.073.065.639,0.133837007,-88.867.821.504.892,0.003948415,0.902005249,0.003004597,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,ASV158,FALSE,FALSE,FALSE,-0.283348692,0.765531698,-0.010490937,0.1110963,0.229663459,0.206454673,-255.047.821.470.306,333.327.600.943.416,-0.050814725,0.043462597,0.015742531,0.961122597,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
110,ASV159,FALSE,FALSE,FALSE,-0.39656939,0.138872012,0.506507902,0.246368724,0.303460325,0.280700694,-160.965.801.298.595,0.457628232,180.444.121.672.563,0.151507867,0.661085157,0.114140031,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
