"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy"
"195" "ASV303" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"196" "ASV304" -0.337277831059578 0.669520124842114 0.383608583470491 0.138537460075296 0.244919644485747 0.22169442866157 -2.43456052158215 2.73363178461203 1.73034832578537 0.0451175890935878 0.0291852322047744 0.127185481145925 1 1 1 FALSE FALSE FALSE FALSE TRUE TRUE
"197" "ASV305" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"198" "ASV306" -0.0244535748053005 -0.0954828990402304 -0.0111371660995426 0.12408678329177 0.223495689647031 0.200332666196736 -0.197068327154569 -0.427224789842827 -0.0555933603389743 0.850280241304215 0.684122004623953 0.957470753867171 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"199" "ASV307" -1.57013793299432 -0.20391331576009 2.28098283442079 0.116421708076428 0.242749334767475 0.219519985168807 -13.4866423018254 -0.84001596113709 10.3907752757306 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"200" "ASV308" 0.200944340046169 0.21301162010579 -0.521730485834388 0.116526750329724 0.242962438630482 0.219733415640719 1.72444815870671 0.876726547965535 -2.37437935560724 0.334547327535407 0.541756611647004 0.253766781447605 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"201" "ASV309" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"202" "ASV311" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"203" "ASV314" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
"204" "ASV316" -0.124015054469517 0.116753443969954 -0.196976391727596 0.115001667790632 0.235766655018449 0.212537372813859 -1.07837613881648 0.495207619418524 -0.926784730232404 0.341555901970399 0.646423111748864 0.406495137866285 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"205" "ASV317" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"206" "ASV318" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"207" "ASV319" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"208" "ASV320" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"209" "ASV322" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"210" "ASV325" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"211" "ASV326" 0.114650933052828 -1.37026957506617 0.100611376931258 0.159796243222077 0.24048003071188 0.217248336934347 0.717482030497376 -5.69805971418848 0.463116902762127 0.500043707316009 0.00126243804992693 0.659602518283267 1 1 1 FALSE FALSE FALSE FALSE TRUE TRUE
"212" "ASV327" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"213" "ASV328" 0.0259427123937173 -0.30435749669225 -0.0562807267627744 0.139286360132206 0.243452979658699 0.220224775336885 0.186254507398236 -1.25016952809095 -0.255560377694471 0.859566086593486 0.266559302870588 0.80847042025393 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"214" "ASV330" -0.157944165137363 -0.568508909631975 0.497897823231126 0.188161515423557 0.303615286528934 0.280857297043089 -0.839407382438569 -1.87246471062582 1.77277866187945 0.428973039344931 0.103303169530082 0.119550038011242 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"215" "ASV332" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
"216" "ASV333" -0.884408760345463 0.900908498823042 0.230655567219272 0.121781534786574 0.253604924686399 0.230411959239515 -7.26225664584876 3.55240932303298 1.00105727142185 0.00538738894372464 0.0380252895297548 0.390565271809153 1 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
"217" "ASV334" -0.0696845093428484 0.432548386903018 0.0328629478006987 0.125551471270653 0.226329435866751 0.203141842925734 -0.555027421324505 1.9111450759665 0.161773405849788 0.598941716693935 0.104541807561414 0.876794490320386 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"218" "ASV335" -0.606110669843785 0.710409176943102 0.291826680512006 0.117712904295459 0.226258530210415 0.203071475066876 -5.14905883489586 3.13981168481223 1.43706387327861 0.00361774022813388 0.0256718057028216 0.210201928837069 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"219" "ASV336" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"220" "ASV338" -0.0640782191355345 0.00206260490753157 -0.00966058454007026 0.121279367344706 0.252589288763228 0.229391408165148 -0.528352188327372 0.00816584471032347 -0.0421139772293268 0.625210339328226 0.993875701544964 0.968426182397982 1 1 1 FALSE FALSE FALSE TRUE TRUE FALSE
"221" "ASV339" -0.455628160981275 0.11008969510283 0.556476080880426 0.137555333591802 0.252236304646132 0.229036780275097 -3.31232638592816 0.436454598624404 2.42963632396526 0.0803175007880617 0.705104478638927 0.135745527554533 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
