"","plant-b1","plant-b2","plant-b3","plant-b4","plant-d1","plant-d2","plant-d3","plant-d4","plant-f1","plant-f2","plant-f3","plant-f4","plant-k1","plant-k2","plant-k3","plant-k4","plant-m1","plant-m2","plant-m3","plant-m4","plant-p1","plant-p2","plant-p3","plant-p4","plant-r1","plant-r2","plant-r3","plant-r4","plant-s1","plant-s2","plant-s3","plant-s4","plant-t1","plant-t2","plant-t3","plant-t4","plant-v1","plant-v2","plant-v3","plant-v4","plant-x1","plant-x2","plant-x3","plant-x4","plant-y1","plant-y2","plant-y3","plant-y4"
"c9d57905b4348eaefa991561163ec741",0,0,0,0,0,0,0,46,60,27,46,0,53,31,0,80,49,0,44,36,24,85,0,44,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,62,0,0,0,0,0,0,20,0
"9813499fdbe015fa2b4f944c6d21b4a4",87,89,94,100,0,0,0,0,0,0,0,0,0,0,0,0,123,106,97,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f742f12e053a10cb0b7c1a2d1aa46fdd",0,0,39,0,0,0,0,0,0,0,92,0,0,0,0,0,17,0,0,22,0,44,0,55,0,68,0,0,0,50,0,0,0,0,105,0,0,0,0,14,0,255,0,0,0,0,0,0
"bc37a911fe454d929dc51ffdd1c5fb68",119,73,90,98,0,0,0,0,0,0,0,0,0,0,0,0,54,62,104,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,59,0,0
"be529ca602ea6e9886669bbc1e03f663",0,0,0,0,0,0,0,0,0,0,0,0,87,90,95,87,0,0,0,0,49,96,112,84,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408542074e5017ba0f846572298fb82f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,76,0,0,0,0,0,63,0,0,0,0,0,0,0,36,153,118,0,0,0,0,122,0,0,142,0,0,0,0,0,0,0,0
"a34d54c2b07b0326b228e5311dbd5778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,66,354,0,73,0,149,0,0
"3ac49f0db77862b517998161fd6dd744",0,0,57,0,0,0,0,0,0,0,0,0,60,0,0,107,0,0,0,63,78,140,94,82,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
"9a6e58c637e6e2eaffd44c58a8b68f8a",0,0,0,0,0,0,0,61,0,0,0,0,67,0,70,57,70,0,0,0,0,0,111,0,114,0,76,0,0,0,98,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dde6f96c03ea13a1764272a109980319",101,101,41,58,0,0,0,0,0,0,0,0,0,0,0,0,132,70,73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,62,0
"041b961b35fd4dc282c0f8ba5239f5e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,81,0,0,0,0,64,139,95,120,55,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a54ad7b76b237552abae803ff72bc492",0,0,0,0,0,0,0,0,0,0,0,0,0,140,123,58,0,0,0,0,0,131,71,141,57,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250ea08d59bcd0233480cf461cf5ee1e",0,0,0,0,0,0,0,0,0,0,0,0,97,0,145,62,0,0,0,0,123,79,65,89,0,35,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7a7ab43b5d959d6ec68bc0d3735ca7c5",78,65,0,73,0,0,0,0,0,11,0,0,59,0,59,68,0,0,91,64,71,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61562cfd7c07696355c06edf9f8666a3",0,0,141,186,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,105,123,82,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"342133fbf775808f66976ae26b56923b",75,62,102,110,0,0,0,0,10,0,0,0,0,0,0,0,70,66,147,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"2c7e7951a8ad147791f0e996ea662706",126,47,114,123,0,0,0,0,0,0,0,0,0,0,0,0,79,110,94,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12e7a5a8872f9b14469c8efbfbc75f35",0,0,0,0,0,0,0,0,0,0,0,0,68,112,0,0,0,0,0,0,73,0,0,0,153,0,0,0,0,211,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6271fe39c41a6e668f1357d9b493b14a",0,0,0,0,84,153,185,92,139,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02e8beee027b722a13f71df5e1dcc4be",0,0,0,0,0,0,0,0,0,0,0,0,95,101,0,90,0,0,0,0,160,92,105,66,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a9b49ddf7d60fa722c9b2c59e4eaa63",161,0,0,0,55,80,0,61,73,83,0,0,0,0,0,0,82,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"787d16f86d1470d564344c7bdc3c88a9",0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,177,0,0,0,0,0,103,167,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d0ea6ffa708d31275c31f91367f7b38",110,51,89,53,0,0,0,0,0,0,0,0,0,0,105,104,0,0,61,0,0,86,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"be8be4ae369b55d58f4094ec43e11aec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,369,0,151,0,0,73,0,0,0,0,0,0,0,0
"a086c249280d1a76db16f8e9352cc49f",103,0,99,121,0,0,0,0,0,0,0,0,0,0,17,0,94,108,60,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"3b29c326270286f4d671bcf9854e6b53",99,79,91,93,0,0,0,0,0,0,0,0,0,0,0,0,105,82,97,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"fd6988453d2bc6d279fe48eeb58b507a",0,0,0,0,0,0,0,0,0,0,0,0,51,62,64,0,0,0,0,0,75,58,44,0,154,0,130,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c22b1b6ba190f201b30b3b5c3aaac5b3",0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,52,0,0,0,0,107,57,117,119,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
"9741ac523756b85e81de1e121676e5c1",0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,155,0,0,0,37,0,117,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,159,0
"790de543fefcc2a2704b46b66448de4c",125,0,0,74,0,0,0,144,0,0,0,0,0,0,0,56,0,0,68,67,0,78,0,0,30,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7f42ccb0489258f52ba70a9dbda424e1",85,127,47,82,0,0,0,0,0,0,0,0,0,0,0,0,71,172,64,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e9b74e2b3c3ee0cb87cbb6807cf4d03f",0,0,0,54,0,0,0,0,0,0,0,0,51,54,0,96,0,0,0,0,98,86,91,131,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
"a550981b94281926016bd5be0405a845",36,0,0,0,0,197,0,135,117,53,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,106,0,22,0,0,0,26,0,0,0,0,0,0,19,0,0,0,0,0,0
"84187f3bbea7e909742e08b7816421f9",122,67,86,68,0,0,0,0,0,0,0,0,0,0,0,0,111,127,97,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28d055da5c77723bdb8727b36edfd8c7",0,0,0,0,52,112,94,151,62,0,0,0,98,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
"39be141b5a058b151c67b0c4f4a13c02",60,46,53,71,0,0,0,0,0,0,0,0,0,0,0,57,48,67,78,0,0,122,63,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"629a9c7d6edf8704abdd538e4672289a",0,0,53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,46,56,0,102,115,0,0,0,0,0,23,0,0,100,93,0,0,0,0,0,0,37,37,0,0,0,0,0,0,0,0
"e310ce8ab8782dfc72e1dff713e2e7cf",0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,264,0,0,0
"52611a9aa4f5961f77c7ee55f2a52ddf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,102,0,0,0,0,85,56,0,0,0,0,0,0,333,109,0,0,0,0,0,0,0,0,0
"2e331aaa149b5fff866937fad6156cba",0,0,48,94,0,0,0,0,0,0,0,0,46,50,0,72,0,90,0,0,77,0,130,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d4b512fb86d7e485601551dc29f40d03",0,0,0,0,0,0,0,0,0,0,0,0,109,89,45,95,0,0,0,0,55,182,95,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a7f2879a11c587407facf46aa1539b55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,70,111,0,174,0,106,0,0,0,0,0,0,48,0,0,0,0,122,0,0,0,0,0,0,0,0,0
"d89194843e79c6056ba1a150557f46c4",0,62,0,96,0,0,0,0,0,0,0,0,0,0,76,0,68,60,52,0,52,211,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43563ef769b2a1166eac04024e4105b2",0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,94,0,0,0,0,99,196,138,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf702f888d800e0b23a3868dad4e597b",0,0,0,0,0,0,0,0,0,0,0,0,127,0,145,56,0,0,0,0,62,128,106,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9441f5718990db8efbf76c998b496e35",0,0,0,0,0,0,0,0,0,0,0,0,167,0,75,148,0,0,0,0,0,172,95,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e6768551ac141ad296aec95f7bf2642f",137,0,0,88,18,0,0,0,0,0,0,0,0,12,0,0,0,54,82,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,74,0,0,148,29
"97c41d404911dde105d400d48b659f0d",96,0,117,126,0,0,0,0,0,0,0,0,0,0,38,0,85,0,73,86,0,0,0,38,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2c1fac833c566da099ccdcf599a6a49a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,464,0,0,0,0,0,0,0,0,156,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d4ed8e2f30f3c919aebfcb6b56e9be5",0,247,0,93,0,0,0,0,0,0,0,0,0,0,0,0,157,0,84,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
"5cad7bc0908051388e2deb3a270e80f8",106,0,63,99,0,0,0,0,0,0,0,0,0,0,0,0,95,101,67,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,78,0
"fe97a1b6250df6475aefe89024b47c31",88,53,115,103,0,0,0,0,23,0,0,0,0,0,0,0,87,74,80,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
"543b240d5c993ee5788f2415ae504d5c",85,0,105,86,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,47,0,121,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"00375a3370ed4cfcb16c780da2020e0a",106,80,114,115,0,0,0,0,0,0,0,0,0,0,0,0,59,74,91,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5298c2683bdc7709b56482f33b8c7410",64,0,0,0,0,0,46,0,164,101,0,32,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,142,0,0,0,0,0,0
"677d3e3c7d15798c1025df13a02bb75d",0,0,0,34,0,0,0,0,0,0,0,0,0,0,116,64,0,0,0,0,58,0,0,92,0,0,0,0,44,0,75,108,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
"7bd22bc4b8d2d9c98f04eac943cbf07e",0,0,0,0,0,0,0,0,0,0,0,0,44,28,0,35,0,0,0,0,35,49,67,0,15,0,0,0,129,0,0,0,0,0,24,0,69,0,100,118,0,0,0,0,0,0,0,0
"87bf891f27fa57fa60c1fc013d837f3a",65,0,34,65,0,0,0,0,0,0,0,0,0,0,0,55,0,46,0,0,0,0,78,59,176,0,0,83,0,0,0,0,21,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
"433b045fe4c2ba761ee42a851956f7b1",65,0,67,55,0,0,0,0,0,0,0,0,0,0,90,134,0,34,74,56,0,83,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69912d6b3a0c29f6deb0eab401254565",0,0,0,0,0,0,0,0,0,0,0,0,92,94,64,125,0,0,0,0,103,80,58,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85399e6b67b8160474c6a1be553488b0",160,77,108,77,0,0,0,0,0,0,0,0,0,0,0,0,0,96,85,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a5e9d364df64f1ed03b0523471646d37",0,0,0,0,0,0,0,0,0,0,0,0,0,88,62,102,0,54,51,0,0,110,103,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e34271c28b9d8cf1560a3b227b8b4320",105,0,104,0,27,38,0,136,150,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"3001e1e576b04cb2f6d41d11443582d7",0,0,17,14,0,0,0,0,0,0,0,0,147,0,29,0,0,0,0,0,101,0,212,94,0,0,0,18,0,0,0,0,0,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0
"7e0f5b92ec62b68cd55f313dde099240",0,0,0,0,0,0,0,0,0,0,0,0,42,0,63,118,0,0,0,0,61,197,135,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa2af5ccc48be928d1a5f3678537c1ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,103,35,0,0,158,101,115,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0
"0adfd8aa7a1896c970a7ce83d8bf7e33",0,0,0,0,0,0,65,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,59,24,0,0,0,52,0,0,39,0,68,0,65,54,0,0,0,0,0,97,0,50
"592a8ea084807f19fbd40cd271143587",0,136,112,89,0,0,0,0,0,0,0,0,0,0,0,0,122,173,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"721d717f4e6aa1efb59f467a27b6532d",0,0,104,97,0,0,0,0,0,0,0,0,0,90,0,151,0,0,85,0,111,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b9dab070521f8a2bc151a3cf73c43ed",0,0,0,0,0,0,0,0,0,0,0,0,0,41,84,0,0,13,0,0,68,60,62,0,108,0,133,0,21,0,0,0,0,24,0,0,0,0,0,0,0,0,90,0,0,0,0,0
"244def89db253c4af0ee457d9b51ec20",0,0,0,0,0,0,0,0,0,0,0,0,0,108,144,72,0,0,0,0,115,122,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bb0921c4fcc8ae0fd6651f0c7bedf84d",0,0,0,0,0,0,0,0,0,0,0,0,0,67,133,0,0,0,0,0,129,153,146,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8dd4528b1c9c13ab248eff9731850951",0,23,0,0,0,0,0,0,0,0,0,0,84,0,0,63,0,0,0,0,36,101,96,72,0,0,0,0,0,0,52,0,0,0,0,0,0,77,0,97,0,0,0,0,0,0,0,0
"9137f4d281772b482578b19b662088f5",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,93,127,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f5914590a589bc24fba4e8e7edf0a4d",0,44,0,69,0,0,0,0,0,0,0,145,0,0,0,0,61,64,61,63,0,0,42,85,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f3fe34e00f54ead66e65ccc2fa5a1bc0",118,50,0,126,0,0,0,0,0,0,0,0,0,0,0,0,71,56,100,93,0,0,55,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158f99cd0bbb09d20c8b35a0b1331aca",81,31,0,0,0,0,0,0,0,0,0,29,0,0,22,38,70,0,0,0,0,0,0,0,48,0,253,0,0,0,0,0,0,0,78,0,0,0,0,45,0,0,0,0,0,0,0,0
"03281ea09654233b98afd8017f2b0560",80,15,0,0,0,0,14,0,0,0,0,0,0,22,0,109,0,0,44,0,68,0,0,72,68,0,0,0,12,0,0,0,0,41,71,0,0,0,0,0,0,0,0,0,0,0,48,31
"d1603d4f3ce0b7b04b06e0c8c44d4ac9",0,0,0,118,0,74,0,0,0,0,0,0,0,43,0,0,0,98,88,99,0,0,0,40,0,0,0,0,0,0,66,0,0,0,0,0,54,0,0,0,0,0,0,0,0,15,0,0
"30f1576039b035b54239778bd9c3c7a8",0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"df72de2ba91f0d3baf786b925f500fd0",0,0,0,0,0,0,0,0,0,0,0,0,139,0,82,86,0,0,0,0,72,111,91,70,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d590023e8fa9bdd1e6e4d072ca165f81",0,0,0,0,0,0,0,0,0,0,0,0,0,40,106,99,0,0,0,0,87,103,104,96,37,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9bf1d73e048eef7628017bbcfb232b66",154,0,0,71,0,28,53,0,0,0,0,53,0,0,0,72,0,41,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,96,0
"5f52e853b8c327aa8111ba58ec2384cc",93,0,70,87,62,0,0,0,0,0,0,0,89,0,0,0,0,42,85,0,0,37,0,67,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"c73ed643968aa12e39d3e5374e33e8f4",0,51,106,109,0,0,0,0,0,0,0,0,0,0,0,0,101,115,95,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78e202567a4aa3edc7b5dd732787ecf3",0,0,23,42,35,37,0,0,0,0,0,0,48,87,102,0,39,0,0,40,82,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0
"0ec541b98de2e449dcf623007e2fd184",0,0,0,46,0,0,0,0,0,0,0,0,63,0,0,74,6,54,0,0,118,76,109,97,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"297552fa99f2cb1e8117b8665181cfb5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"729dc8bed01a5a2b84b52ab84e6ee5ca",145,0,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,98,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0
"d9e4824fc06c9cd6a619daba950ec196",73,61,0,70,0,0,0,0,0,0,0,0,0,0,0,72,0,0,58,25,125,0,105,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"739684c30598753acc16bba379a5b5c1",0,0,0,0,0,0,0,0,0,0,0,0,87,0,111,88,0,0,0,0,100,92,152,0,0,0,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"091c3ec97de4630cdfac10e149636928",93,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,147,0,65,0,0,107,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
"2229c89c35814bc70922f3f217eb377b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,91,0,0,0,0,50,95,70,146,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa63af5e7a54e4f09b1037bd566c0bd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,99,0,0,0,0,117,57,114,82,82,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"511f542176601b67897d792646ce9dc3",0,52,70,122,0,0,0,0,0,0,0,0,0,0,0,57,0,80,46,128,0,50,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0214ed1c22e4c82aa917d897e6a211de",0,14,0,0,0,0,0,0,0,0,0,0,0,99,109,81,0,11,0,0,0,128,129,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26b464547148148405200b9d4f81d731",0,122,55,98,81,0,60,0,0,48,33,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,22,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"4b4fb77ea617e29d6fedf693a9d7b246",0,0,0,0,0,0,0,0,0,0,0,0,56,98,0,106,0,0,0,0,120,53,114,93,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4123baee78a9a82f30dd1453d17b23f4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0
"48e59455f2162f035f8e36aa907588b4",151,64,64,71,0,0,0,0,0,0,0,0,0,0,0,0,76,79,99,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1822afc5cb1cd4310512e4551fea97d",90,52,79,81,0,0,0,0,0,0,0,0,0,0,0,0,72,84,105,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"96241c9169941622f14d72b3847b1ce3",0,97,170,125,0,0,0,0,0,0,0,0,0,0,0,0,180,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"62d4344f0c7d8594819170cd8a599e98",0,0,0,0,0,0,0,0,0,0,0,0,101,0,116,133,0,0,0,0,0,200,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d4640d69843447908388deed40488c3",146,206,103,111,0,0,0,0,0,0,0,0,0,0,0,0,0,70,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e0129e0f3f934fa14cd3536370f94f6",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,76,0,0,0,0,0,135,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,105,0,0,0,68
"8b52f10d9e5acca3e55360a6329c6a0c",0,134,150,85,0,0,0,0,0,0,0,0,0,0,0,0,60,145,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36c0cbaeefe107784f2373e8f8d0684f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,71,26,73,30,36,54,163,67,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92d5870145f1f400c21c966e36ddc31d",0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,65,0,0,0,0,95,51,52,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0
"f79acae3cab85b9b0bbf8e6b7816130b",106,0,0,79,99,85,0,0,0,0,0,63,0,98,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,66,0
"dbad31dbba83c119ad14a8a7c062c64d",73,39,74,64,0,52,0,40,0,0,0,0,0,0,0,27,43,74,71,44,15,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
"79c83eff15bd1036cb8274badd1718ec",0,0,0,46,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,81,88,0,103,72,0,0,23,0,0,0,0,0,0,0,0,0,0,92,133,0,0,0,0,0,0,0,0
"357798d02ae713eb46b63f94b8ecd997",140,97,84,112,0,0,0,0,0,0,0,0,0,0,0,0,49,47,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"6c28c4af69bf0aa3012153d32a084464",70,59,81,123,0,0,0,0,0,0,0,0,0,0,0,0,85,99,78,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84d42d11d273449b793340996b2e7301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1817707346362e5fd540e73179672ab0",109,107,82,84,0,0,0,0,0,0,0,0,0,0,0,0,104,77,64,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
