"","plant-b1","plant-b2","plant-b3","plant-b4","plant-d1","plant-d2","plant-d3","plant-d4","plant-f1","plant-f2","plant-f3","plant-f4","plant-k1","plant-k2","plant-k3","plant-k4","plant-m1","plant-m2","plant-m3","plant-m4","plant-p1","plant-p2","plant-p3","plant-p4","plant-r1","plant-r2","plant-r3","plant-r4","plant-s1","plant-s2","plant-s3","plant-s4","plant-t1","plant-t2","plant-t3","plant-t4","plant-v1","plant-v2","plant-v3","plant-v4","plant-x1","plant-x2","plant-x3","plant-x4","plant-y1","plant-y2","plant-y3","plant-y4"
"3678814c0d31deef14e524b4e79c0f75",849,397,583,704,418,383,262,301,375,286,250,210,191,138,217,269,403,483,660,405,209,325,219,169,0,324,165,145,135,134,189,256,87,0,0,0,260,162,169,338,0,49,102,0,113,331,153,256
"920b6313cfd44a1e60f797fa1f8ab468",469,213,245,426,249,237,152,189,253,131,190,131,372,219,354,335,220,293,260,215,238,622,380,267,129,582,521,83,187,242,304,287,331,182,90,248,479,231,236,488,135,0,54,104,62,0,0,0
"e7b9bf18d78a58124b8eb0c636414b34",682,0,0,113,102,209,116,136,200,102,109,1347,0,0,0,0,0,0,82,116,0,0,35,0,0,0,56,202,0,0,0,0,0,0,64,0,0,22,0,0,176,1980,131,202,69,3627,584,554
"2456ea21ddbe8aa966a9084a4fc8484e",2311,186,263,295,95,260,274,1238,1160,549,110,112,100,0,0,90,56,0,255,179,105,122,93,0,296,129,58,94,0,0,127,52,9,0,0,0,102,140,0,0,124,0,259,479,35,73,684,395
"01321f40d3e1878739f9e77c4f39e2c4",0,0,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,3205,2214,867,414,0,0,0,0,1746,631,749,973,0,0,0,0
"a985ca124d32ed14d67d3f9ad7feba3b",1148,75,121,0,2324,82,80,1066,131,0,0,0,0,162,157,190,168,217,85,90,190,204,182,0,121,151,289,172,86,346,203,67,0,0,162,82,116,202,109,61,219,420,194,233,53,159,408,106
"276b57b4205e0cbc9a8ce4df49d17c24",0,0,0,0,245,305,317,418,406,239,255,289,0,0,0,0,0,0,0,0,0,0,0,0,652,388,447,793,351,291,292,261,360,321,291,231,349,186,229,257,216,121,207,211,440,539,246,424
"5bba52574d9498278b3b3c7bac4fabc2",2045,161,241,263,42,211,219,1145,1013,509,0,116,94,81,64,70,58,80,226,152,88,147,81,123,273,120,86,0,0,104,0,55,0,0,0,0,65,129,0,115,115,0,209,436,0,76,637,349
"79547420d9823127025003635290630c",697,331,473,515,330,254,249,299,334,231,239,197,215,135,172,236,296,403,448,342,152,261,199,225,87,263,121,0,165,155,152,250,126,0,0,0,239,143,182,287,0,55,134,154,0,0,211,0
"5541d5e11fb9e6bfc1c58b9f4aa2797f",439,257,306,438,0,0,0,40,0,0,42,57,246,161,272,329,259,284,433,258,246,497,343,279,420,0,157,0,0,0,0,23,511,151,1920,85,0,21,0,0,104,423,144,208,62,0,177,164
"472318683df2d3770910f3c51c4307ba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071,2388,997,364,0,0,20,0,1539,565,1006,721,0,0,0,17
"7e1a75a5a79c6a3dbf96253b8625dac0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,2645,1854,716,329,0,46,85,0,1449,561,649,778,0,0,0,0
"1f3b55d1d489df78cd8235ab4565b4ca",185,136,162,271,0,0,0,0,0,0,0,0,770,435,467,820,110,175,239,156,670,1368,938,958,288,105,211,136,0,0,0,0,90,27,150,56,0,0,0,0,43,0,0,0,0,46,102,0
"30d60cee5e163ddfb6694311f7d624c1",577,0,0,84,0,204,31,125,189,106,52,1172,0,0,0,0,0,0,57,99,0,0,0,0,0,0,0,177,0,0,0,0,0,0,62,0,0,0,0,0,105,1668,0,194,71,3094,429,448
"7f12b0e81b6e7d1e8ba38769bd24e351",375,235,283,307,212,242,230,166,194,139,153,99,201,170,415,278,236,269,236,248,220,548,272,236,88,94,102,135,247,209,233,262,0,0,66,0,337,190,175,313,0,0,0,0,43,0,0,0
"8866e0d95c22ff0a44139670a7d962ea",610,351,418,457,270,256,179,227,281,198,217,148,176,94,162,161,267,313,416,327,157,257,189,120,0,268,123,0,122,91,127,212,70,0,63,0,165,113,128,279,181,48,91,0,0,0,122,0
"21379fb7d0c4d428e2da4d827dac3cff",135,74,92,110,80,102,0,0,84,0,0,0,322,279,386,499,58,85,84,87,390,651,398,323,703,0,79,77,240,296,432,448,0,0,0,0,601,278,347,583,0,0,0,0,0,0,0,0
"db1f6dfdde5f5bc1434c6c44eb3a66ce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1747,2009,833,283,0,26,0,0,1349,545,793,600,0,32,27,0
"7ff8925a2d005bcc58539c00f5028ad0",377,445,594,665,0,0,0,36,0,0,0,0,278,245,248,374,486,472,533,476,271,856,471,317,227,113,183,0,0,0,0,0,13,0,44,30,0,0,0,0,120,36,112,108,42,0,95,0
"52fde859a521844c46d6a90a74da5545",718,298,501,539,437,374,327,327,388,202,246,254,0,0,77,54,286,415,655,299,101,85,93,130,0,0,0,0,102,46,126,159,0,0,0,0,71,127,132,62,86,233,70,0,0,0,125,102
"7d914901e58d89523fd67bce8e6ff055",401,225,238,303,0,0,0,0,0,0,0,66,198,160,225,248,209,238,291,221,214,372,291,278,323,139,0,157,0,0,0,0,437,113,1678,110,0,0,0,72,90,368,127,0,0,91,211,0
"a400bb8457fc07c15ab24be38e7eb574",196,123,159,228,0,0,0,0,0,0,0,0,658,410,459,720,121,172,213,146,618,1225,928,928,218,156,209,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
"f8d1ca64c370dfb5de0416646b2692cf",1877,142,182,211,0,172,205,952,923,435,0,82,101,0,0,44,52,0,185,142,87,100,59,0,213,98,54,0,45,0,0,49,0,0,0,0,55,110,38,0,94,38,168,339,0,64,471,290
"423b62b87f562b36522927817c28d280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056,2018,767,394,0,0,0,0,795,444,1041,422,24,0,0,0
"52648f5785e0ccaebdfaa86afbe18dda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,1617,607,307,0,0,0,0,1219,455,595,774,34,0,0,0
"226208e01a6c16099faa6918a78c4e39",0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287,1478,631,297,0,0,0,0,1328,427,576,714,0,0,0,0
"cd3544262dd4b6a2a2fbd70d4ae022de",0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,811,1743,1824,0,0,0,0,109,170,76,0,0,0,0,0,0,138,182,335,0,0,52,0
"5fe2ede8bae4eb0f34ae10434e5be44a",297,194,192,294,154,183,117,235,155,163,115,94,166,117,341,211,187,207,193,181,159,440,247,176,106,0,88,0,263,210,235,229,0,0,0,0,314,139,166,290,130,0,91,85,0,0,155,158
"285c257025c3bc6b634d2bd52b8cd16e",924,87,0,0,1969,71,112,888,120,124,0,103,0,0,0,138,0,163,61,65,0,143,78,109,152,119,219,0,112,276,219,0,0,0,153,0,0,183,0,85,0,298,0,0,0,0,372,125
"80fca351b709eda85ffc27acf4d9ee2d",0,0,0,0,40,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,1763,808,251,0,0,0,0,1160,422,707,461,0,0,0,0
"b2ee8a0f671f8600ccd2618a26b2573c",0,0,0,0,0,0,0,47,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,299,0,0,0,0,711,229,592,0,0,0,0,0,1248,949,221,2262,260,0,0,0
"9bfd97ecadb7ee8218df31662c1e65a0",0,0,0,0,0,0,0,0,0,0,0,0,91,73,0,110,0,0,0,0,91,156,80,150,0,0,109,0,0,58,86,0,3743,0,0,0,139,76,85,90,0,0,0,0,1878,0,0,0
"35649ab409dfa8b865db05866341c823",261,163,180,259,118,105,0,92,107,113,149,0,261,149,348,284,165,161,188,144,195,530,275,216,64,0,155,196,186,189,229,220,0,0,0,0,371,177,187,318,0,0,43,0,0,73,0,96
"aa934362e13b0035fffd9a968b4c7b04",176,132,175,333,172,140,167,216,0,0,0,135,167,143,184,328,150,96,207,148,215,1036,291,215,59,0,96,146,93,234,164,201,0,37,0,0,188,149,318,308,42,0,0,0,0,0,0,0
"65c698afd5db7afc1cbb1679b10cc179",160,113,128,180,0,0,0,0,0,0,0,0,779,287,371,618,81,116,157,134,547,939,647,683,225,103,167,99,0,0,38,28,0,0,0,0,0,40,0,142,0,16,0,0,0,0,0,0
"005a3e21bc476e07c1eb7838aafdd2f4",618,284,399,474,351,312,273,291,347,158,250,242,89,82,80,74,273,343,491,261,0,94,79,0,0,0,0,44,0,0,0,0,0,0,0,0,97,0,0,83,83,221,70,106,0,42,103,49
"e770b7b6c57fe974c3265316e08b0970",449,341,388,466,0,0,0,0,0,0,0,0,296,225,314,382,282,336,365,315,281,676,384,368,243,154,204,0,0,0,0,0,33,0,97,0,0,0,0,126,0,0,0,0,0,0,0,0
"5c40285d760db87c368fa2993e0cef3c",546,0,98,157,107,139,127,87,169,123,0,278,67,85,107,200,66,0,0,70,76,122,0,0,136,109,121,0,510,567,105,0,53,0,1108,0,0,0,0,339,136,146,84,294,0,0,217,166
"fd25979adbc67268eb4874377f2c80af",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,1863,595,304,14,0,0,0,626,361,812,347,0,0,0,0
"3bf567a034b0945d65f164249cfb1d5b",129,85,73,84,0,0,0,0,0,0,0,0,277,214,304,378,55,72,0,0,269,507,349,325,617,0,114,152,190,232,375,332,0,0,85,0,457,245,260,498,0,0,0,0,0,0,0,0
"b6c88a64fa672b92399cc62671c33f16",375,198,190,272,0,0,29,0,0,0,0,0,189,140,201,214,183,169,277,207,174,339,237,207,295,60,0,57,16,0,0,0,389,99,1336,86,0,0,0,0,69,329,118,0,0,0,121,0
