"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV2762"	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
"ASV2763"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	50	59	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2764"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	91	94	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2767"	0	101	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
"ASV2769"	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2770"	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0
"ASV2771"	0	0	0	54	0	0	0	0	28	0	0	0	0	0	0	0	0	50	40	0	0	23	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2772"	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2773"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	64	0	0	0	0	0	0	0	0	0
"ASV2775"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	98	0	0	0	0	0	0	0	0	0
"ASV2776"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	25	0	0	0	0
"ASV2777"	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	35	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2778"	0	0	49	82	0	0	0	0	0	0	0	0	0	0	0	0	0	48	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2779"	0	0	41	88	0	0	0	0	0	0	0	0	0	0	0	0	0	47	23	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2780"	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	19	28	0	37	0	53	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2781"	0	0	0	0	0	111	0	114	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2782"	0	0	0	0	0	0	85	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
"ASV2783"	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	81	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2784"	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	62	0	0	67	37	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2786"	127	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2787"	80	51	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
"ASV2788"	0	66	0	69	0	0	0	0	0	0	0	0	0	0	0	0	62	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2789"	0	0	12	0	0	0	0	0	0	0	0	0	0	27	23	31	7	0	0	0	0	74	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2791"	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
"ASV2792"	0	0	0	0	0	0	0	0	0	0	0	0	81	0	56	59	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2793"	0	0	0	0	0	0	0	0	0	0	0	0	57	0	37	0	0	0	0	0	62	51	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2794"	0	0	0	0	0	0	0	0	0	0	0	0	25	0	47	0	0	0	0	0	0	49	63	31	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2795"	0	0	0	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	9	15	66	35	0	0	0	0	0	0	0	30	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
"ASV2796"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	71	69	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
"ASV2797"	53	0	38	0	0	0	23	0	0	0	0	0	0	14	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
"ASV2798"	49	0	0	0	0	0	0	0	0	115	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2799"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	6	0	0	18	63	81	7	0	11	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2800"	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2801"	0	0	36	108	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2802"	0	0	0	0	117	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2803"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	115	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2804"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	17	0	0	0	0	24	94	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2806"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	55	64	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2807"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	44	0	0	0	0
"ASV2808"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2809"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	132	0	0	0	0
"ASV2810"	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2811"	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	33	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2812"	21	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	75	17
"ASV2813"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	94	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2815"	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0
"ASV2816"	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0
"ASV2817"	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	65	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2819"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	40	46	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2822"	0	0	37	56	0	0	0	0	0	0	0	0	0	0	0	0	85	25	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2824"	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0
"ASV2825"	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	73	95	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
"ASV2826"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	20	0	43	35	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9	0
"ASV2827"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	75	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2829"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	39	0	0	0	152	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
"ASV2830"	53	27	0	60	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2831"	45	23	0	43	0	0	0	0	0	0	0	0	0	0	0	0	34	38	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2832"	0	40	0	37	0	0	0	0	0	0	0	0	29	0	0	0	0	34	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0
"ASV2833"	0	0	0	0	0	0	199	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
"ASV2834"	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	41	63	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
"ASV2836"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0
"ASV2838"	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2839"	40	34	0	57	0	0	0	0	0	0	0	0	0	0	0	0	51	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2840"	0	41	50	63	0	31	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2841"	0	0	0	0	0	28	89	0	0	0	0	0	0	0	0	0	0	30	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
"ASV2843"	89	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2846"	0	0	153	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2847"	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	67	0	15	0	27	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2848"	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	51	11	0	0	0	0	38	47	0	0	0	37	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2849"	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	69	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2851"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	91	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2852"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2853"	74	0	0	0	0	19	0	0	4	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
"ASV2854"	40	0	0	12	87	0	0	36	0	9	0	0	0	0	0	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	15	0
"ASV2855"	0	87	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2857"	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	51	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2859"	0	0	0	0	0	0	0	0	0	56	0	132	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2860"	0	0	0	0	0	0	0	0	0	0	0	0	39	0	61	0	0	0	0	0	35	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2861"	76	0	54	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2863"	0	0	0	48	0	0	0	0	0	0	79	0	0	68	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2864"	0	0	0	0	0	0	0	0	0	0	0	0	78	0	75	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2865"	0	0	0	0	0	0	0	0	0	0	0	0	64	0	45	61	0	40	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2866"	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	62	0	70	0	0	0	0	0	0	0	0	0	0
"ASV2867"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	44	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2868"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	46	0	87	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2869"	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2871"	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
"ASV2872"	0	0	0	0	0	0	101	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
"ASV2873"	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2874"	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	85	46	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2875"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	81	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2876"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	65	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0
"ASV2877"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	70	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2879"	78	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2880"	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0
"ASV2881"	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	75	35	49	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2882"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2883"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	31	51	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2884"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	102	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2885"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	39	0	80	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2886"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2887"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	91	0	0	0	0	0	0
"ASV2888"	79	0	0	0	0	30	0	0	0	24	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	19
"ASV2889"	0	0	104	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2890"	0	0	0	0	0	0	0	0	0	0	0	0	0	71	29	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	20	0	0	0	0	0	0	0	16
"ASV2891"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	29	47	0	22	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2892"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	13	0	0	0	0	0	38	28	24	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2893"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	78	60	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2894"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	32	35	0	66	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2895"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	73	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2896"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	28	57	45	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
"ASV2897"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0
"ASV2898"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	87	109	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
"ASV2899"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	31	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2901"	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	62	0	41	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2903"	0	0	0	0	5	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	72	74	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
"ASV2904"	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	51	49	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2905"	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	82	58	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2906"	0	0	0	0	0	0	0	0	0	0	0	0	30	32	25	0	0	0	0	0	39	55	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2907"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	40	0	0	0	0	0	46	57	34	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2908"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2909"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	51	56	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
"ASV2910"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	54	0	0	0	0	0	0	0	0	0
"ASV2911"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0
"ASV2912"	98	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
"ASV2914"	0	0	0	0	0	0	0	0	33	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	25	0	0
"ASV2915"	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	64	0	44	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2916"	0	0	0	0	0	0	0	0	0	0	0	0	0	48	50	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
