"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1747	2009	833	283	0	26	0	0	1349	545	793	600	0	32	27	0
"ASV41"	377	445	594	665	0	0	0	36	0	0	0	0	278	245	248	374	486	472	533	476	271	856	471	317	227	113	183	0	0	0	0	0	13	0	44	30	0	0	0	0	120	36	112	108	42	0	95	0
"ASV42"	718	298	501	539	437	374	327	327	388	202	246	254	0	0	77	54	286	415	655	299	101	85	93	130	0	0	0	0	102	46	126	159	0	0	0	0	71	127	132	62	86	233	70	0	0	0	125	102
"ASV43"	401	225	238	303	0	0	0	0	0	0	0	66	198	160	225	248	209	238	291	221	214	372	291	278	323	139	0	157	0	0	0	0	437	113	1678	110	0	0	0	72	90	368	127	0	0	91	211	0
"ASV45"	1877	142	182	211	0	172	205	952	923	435	0	82	101	0	0	44	52	0	185	142	87	100	59	0	213	98	54	0	45	0	0	49	0	0	0	0	55	110	38	0	94	38	168	339	0	64	471	290
"ASV46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2056	2018	767	394	0	0	0	0	795	444	1041	422	24	0	0	0
"ASV47"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2246	1617	607	307	0	0	0	0	1219	455	595	774	34	0	0	0
"ASV48"	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	1478	631	297	0	0	0	0	1328	427	576	714	0	0	0	0
"ASV49"	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2263	811	1743	1824	0	0	0	0	109	170	76	0	0	0	0	0	0	138	182	335	0	0	52	0
"ASV50"	297	194	192	294	154	183	117	235	155	163	115	94	166	117	341	211	187	207	193	181	159	440	247	176	106	0	88	0	263	210	235	229	0	0	0	0	314	139	166	290	130	0	91	85	0	0	155	158
