"taxon" "structural_zero (Microcompartment = Endosphere)" "structural_zero (Microcompartment = Phyllosphere)" "structural_zero (Microcompartment = Rhizosphere)"
"123" "Bythopirellula" TRUE FALSE TRUE
"124" "C1-B045" TRUE TRUE FALSE
"125" "Caenimonas" TRUE FALSE FALSE
"126" "Caldalkalibacillus" FALSE FALSE FALSE
"127" "Caldibacillus" TRUE TRUE FALSE
"128" "Caldicoprobacter" FALSE FALSE FALSE
"129" "Calditerricola" TRUE TRUE FALSE
"130" "Camelimonas" FALSE TRUE TRUE
"131" "Candidatus Alysiosphaera" FALSE FALSE FALSE
"132" "Candidatus Amoebophilus" FALSE FALSE FALSE
"133" "Candidatus Babela" TRUE FALSE TRUE
"134" "Candidatus Berkiella" FALSE FALSE FALSE
"135" "Candidatus Caldatribacterium" TRUE TRUE FALSE
"136" "Candidatus Captivus" TRUE FALSE FALSE
"137" "Candidatus Cardinium" TRUE FALSE TRUE
"138" "Candidatus Chloroploca" TRUE FALSE FALSE
"139" "Candidatus Desulforudis" TRUE TRUE FALSE
"140" "Candidatus Dichloromethanomonas" TRUE FALSE TRUE
"141" "Candidatus Endoecteinascidia" TRUE FALSE TRUE
"142" "Candidatus Entotheonella" FALSE FALSE FALSE
"143" "Candidatus Gigarickettsia" TRUE FALSE TRUE
"144" "Candidatus Glomeribacter" FALSE TRUE TRUE
"145" "Candidatus Koribacter" TRUE FALSE TRUE
"146" "Candidatus Megaira" TRUE FALSE FALSE
"147" "Candidatus Mesochlamydia" TRUE FALSE FALSE
"148" "Candidatus Metachlamydia" FALSE FALSE FALSE
"149" "Candidatus Ovatusbacter" FALSE FALSE FALSE
"150" "Candidatus Paracaedibacter" FALSE FALSE FALSE
"151" "Candidatus Protochlamydia" TRUE FALSE FALSE
"152" "Candidatus Rhabdochlamydia" TRUE FALSE TRUE
"153" "Candidatus Rubidus" TRUE FALSE FALSE
"154" "Candidatus Solibacter" FALSE FALSE FALSE
"155" "Candidatus Trichorickettsia" TRUE TRUE FALSE
"156" "Candidatus Udaeobacter" TRUE FALSE FALSE
"157" "Candidatus Xiphinematobacter" TRUE TRUE FALSE
"158" "Candidimonas" TRUE TRUE FALSE
"159" "Caproiciproducens" FALSE FALSE FALSE
"160" "Caryophanon" FALSE TRUE FALSE
"161" "Castellaniella" TRUE FALSE FALSE
"162" "Catellatospora" TRUE FALSE FALSE
"163" "Catelliglobosispora" TRUE FALSE TRUE
"164" "Caulobacter" FALSE FALSE FALSE
"165" "Cavicella" FALSE TRUE TRUE
"166" "Cellulomonas" TRUE FALSE FALSE
"167" "Cellulosilyticum" TRUE FALSE TRUE
"168" "Cellulosimicrobium" FALSE FALSE FALSE
"169" "Cellvibrio" FALSE FALSE FALSE
"170" "Cesiribacter" TRUE TRUE FALSE
"171" "Chiayiivirga" FALSE FALSE FALSE
"172" "Chitinimonas" FALSE FALSE FALSE
"173" "Chitinophaga" FALSE FALSE FALSE
"174" "Chloronema" TRUE TRUE FALSE
"175" "Christensenellaceae R-7 group" TRUE FALSE TRUE
"176" "Chryseobacterium" FALSE FALSE FALSE
"177" "Chryseolinea" FALSE FALSE FALSE
"178" "Chryseomicrobium" FALSE FALSE FALSE
"179" "Chthoniobacter" FALSE FALSE FALSE
"180" "Chungangia" FALSE FALSE FALSE
"181" "Citricoccus" FALSE FALSE FALSE
"182" "Citrifermentans" TRUE FALSE FALSE
"183" "CK06-06-Mud-MAS4B-21" FALSE FALSE FALSE
"184" "CL500-29 marine group" FALSE FALSE FALSE
"185" "Clostridioides" TRUE FALSE FALSE
