"taxon" "lfc_(Intercept)" "lfc_MicrocompartmentPhyllosphere" "lfc_MicrocompartmentRhizosphere" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_MicrocompartmentPhyllosphere" "se_MicrocompartmentRhizosphere" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_MicrocompartmentPhyllosphere" "W_MicrocompartmentRhizosphere" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_MicrocompartmentPhyllosphere" "p_MicrocompartmentRhizosphere" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_MicrocompartmentPhyllosphere" "q_MicrocompartmentRhizosphere" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_MicrocompartmentPhyllosphere" "diff_MicrocompartmentRhizosphere" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_MicrocompartmentPhyllosphere" "passed_ss_MicrocompartmentRhizosphere" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy"
"1" "[Rhizobium] sphaerophysae group" 0.7839512233498 -1.74183074501658 -1.32771807675945 -0.412484299291373 0.266279833615391 0.306270082751683 0.350252444229518 0.375655420124754 0.213341155008484 0.203388069194516 2.55967287534712 -4.97307234742713 -3.53440415239722 -1.93344926474674 1.30922051952185 0.01639219522988 3.27412569854742e-05 0.00149502824302446 0.0637293477063032 0.201492639770503 1 0.00949496452578751 0.372262032513091 1 1 FALSE TRUE FALSE FALSE FALSE FALSE TRUE FALSE TRUE TRUE
"2" "Abditibacterium" -0.129974777125994 0.202726221764374 -0.443354528700302 1.77564138666412 -0.604863483107332 0.288019237014565 0.322088153749339 0.359132161598166 0.165959602416655 0.155637897014687 -0.451271166722177 0.629412225828531 -1.23451635945759 10.6992386147457 -3.88635091265885 0.660561024566534 0.541930642808697 0.242732889766478 3.74773146908823e-07 0.00253546894186061 1 1 1 0.000100439203371565 0.765711620441905 FALSE FALSE FALSE TRUE FALSE TRUE TRUE TRUE TRUE FALSE
"3" "Achromobacter" 0.42024322293825 -0.920138103751975 -0.492951763252691 0.0194353221688591 -0.0672830663394034 0.367315963695938 0.421073066244892 0.472021538579585 0.284819857254919 0.275353917754254 1.14409191125199 -2.18522194249497 -1.04434167291622 0.068237244257391 -0.244351222194891 0.266094435021141 0.0409414983248853 0.308786566339098 0.946274388441189 0.809448124954145 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE
"4" "Acidibacter" -0.783183021042351 1.97848103387061 1.92253912437121 -2.43128412168776 0.206253702216965 0.253496359724695 0.328837127132785 0.317226379248496 0.203564523262783 0.1935340439616 -3.08952373869554 6.01659870684766 6.06046423038864 -11.9435552065681 1.06572310480883 0.00420944055658979 1.17049631216845e-06 1.0332513374298e-06 3.92506435847288e-13 0.294779202692646 1 0.000357001375211376 0.000319274663265808 1.22854514420201e-10 1 FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE TRUE
"5" "Acinetobacter" 1.17957064061148 -2.53251216917977 2.27654557918446 -1.7932802727142 -0.348189397176899 0.781391632734 0.672345410427593 0.795005471376211 0.548766157512706 0.540202406941434 1.50957674896556 -3.7666832105973 2.86355963719796 -3.26784049665577 -0.644553583439786 0.144767907204338 0.00100233035362377 0.00878350841369915 0.00338186939844422 0.525593541879015 1 0.243566275930576 1 0.612118361118403 1 FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE TRUE
"6" "Actinomadura" 0.774735822803811 -1.10145466658482 -1.88771186550559 -0.228047932982421 -0.0152070860477386 0.277191544417609 0.340855400198845 0.3428510466413 0.158204690994109 0.147835646070067 2.79494753143197 -3.23144261743328 -5.50592417318932 -1.44147390035933 -0.102864812729476 0.0267175806062875 0.014422901590048 0.0009008689642727 0.192649355625287 0.920955124705822 1 1 0.233325061746629 1 1 FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE TRUE
"7" "Actinophytocola" -0.171527094224541 0.39144506328551 1.07547570143115 NA -0.917755173517702 0.284924900312682 0.33451873757275 0.360174754685603 NA 0.146037626151173 -0.602008087170701 1.17017380289611 2.98598301918728 NA -6.28437477179802 0.573423574343771 0.294666657138435 0.0305884240214563 1 0.00149914583537928 1 1 1 1 0.45723947979068 FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE FALSE FALSE
"8" "Actinoplanes" 0.696293136696477 -1.24923189814707 -2.50276484249113 0.229881891660506 -0.389015507048176 0.280601396587449 0.338385572337105 0.341947688569877 0.17575147986749 0.165500048460107 2.48143147241777 -3.6917410205142 -7.31914537266918 1.30799405975886 -2.35054618211756 0.0275356901626695 0.00271242582092355 5.83892972401349e-06 0.2135322781654 0.0351902343243299 1 0.615720661349646 0.00175751784692806 1 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"9" "Adhaeribacter" -0.561497874779761 0.696680497219513 1.49674292896728 -1.92535031492447 -0.0263915582789639 0.293812099859486 0.313387606771133 0.349221204940169 0.184392949799161 0.174208673959749 -1.91107811777763 2.22306333169167 4.28594514821547 -10.4415614426774 -0.151493939303284 0.0697408941581205 0.0373223857406958 0.00032793189534974 9.04315554489553e-10 0.881032005607989 1 1 0.0895254074304791 2.65868773019929e-07 1 FALSE FALSE FALSE TRUE FALSE TRUE FALSE TRUE TRUE TRUE
"10" "ADurb.Bin063-1" -1.32789586724531 1.63786457913258 1.62154614459351 -1.72175743675512 -0.0200583217265764 0.26520305763399 0.312003792480387 0.329319595964867 0.145902111844126 0.135487118099079 -5.007091091227 5.24950214903411 4.92392850125596 -11.8007711813969 -0.148045969299518 0.000191974785607705 0.000122958505915201 0.000224067501773784 1.15922166226222e-08 0.884417620389799 0.0550967634694112 0.0338135891266802 0.0629820920056124 3.24582065433422e-06 1 FALSE TRUE FALSE TRUE FALSE FALSE TRUE TRUE TRUE TRUE
